title,genre,release_date,popularity,vote_average,vote_count,runtime,original_language
The Godfather: Part II,crime drama,1974,36.63,8.3,3418,200.0,en
Amadeus,drama history music,1984,12.68,7.8,1107,160.0,en
The Quiet Man,comedy drama romance,1952,8.76,7.3,118,129.0,en
Raging Bull,drama,1980,8.87,7.7,968,129.0,en
The Right Stuff,drama history,1983,14.9,7.4,241,193.0,en
Harold and Maude,comedy drama romance,1971,10.88,7.7,266,91.0,en
Rosencrantz & Guildenstern Are Dead,comedy drama,1991,5.09,7.3,75,117.0,en
Bad Taste,action comedy horror science,1987,7.41,6.4,196,91.0,en
Better Off Dead...,comedy,1985,8.99,6.8,164,97.0,en
Diva,action drama music thriller,1981,2.21,6.7,37,117.0,fr
Arsenic and Old Lace,comedy crime,1944,13.99,7.4,234,118.0,en
Down by Law,comedy crime drama,1986,8.84,7.2,149,107.0,en
Pink Floyd: The Wall,music,1982,6.77,7.7,363,95.0,en
Forbidden Planet,action adventure science,1956,6.38,7.2,238,98.0,en
The Man Who Would Be King,adventure drama,1975,6.19,7.6,148,129.0,en
Paris: Texas,drama,1984,11.64,7.7,282,147.0,en
The Amityville Curse,horror,1989,2.42,2.7,19,91.0,en
Body Parts,horror thriller,1991,3.52,5.6,24,88.0,en
Cape Fear,drama thriller,1962,7.58,7.2,125,105.0,en
Shine,drama,1996,11.66,7.3,136,105.0,en
Ridicule,comedy drama romance,1996,10.88,7.4,30,102.0,en
The Crucible,drama history,1996,9.41,6.7,134,124.0,en
Young Guns,action adventure crime drama western,1988,9.91,6.6,262,107.0,en
Grease 2,comedy drama family music romance,1982,14.2,4.9,185,115.0,en
Raising Arizona,comedy crime,1987,14.01,7.2,548,94.0,en
In Love and War,drama romance,1996,2.37,6.0,28,113.0,en
Somebody Is Waiting,drama,1996,0.02,0.0,0,96.0,en
Night Falls on Manhattan,crime drama,1996,1.63,6.6,24,113.0,en
Walkabout,adventure drama,1971,10.18,7.4,111,95.0,en
Murder at 1600,action crime drama mystery thriller,1997,8.43,5.8,130,107.0,en
Inside,crime drama tv,1996,0.06,0.0,1,94.0,en
Angel Baby,drama,1995,0.78,7.7,3,105.0,en
Metro,action adventure comedy crime thriller,1997,10.52,5.3,136,117.0,en
Prefontaine,drama romance,1997,2.94,6.7,21,106.0,en
Kolya,comedy drama music,1996,13.95,7.5,46,105.0,cs
Prisoner of the Mountains,drama war,1996,1.02,6.6,14,99.0,ru
Touch,action comedy drama foreign romance,1997,0.46,6.0,10,96.0,en
That Darn Cat,comedy family,1997,1.5,3.9,11,89.0,en
Lost Highway,drama mystery thriller,1997,8.45,7.5,572,134.0,en
Rosewood,drama history,1997,2.9,6.7,31,140.0,en
Donnie Brasco,crime drama thriller,1997,12.2,7.4,1175,127.0,en
Kama Sutra - A Tale of Love,drama history romance,1996,7.12,5.7,36,117.0,en
The Van,comedy drama,1996,1.13,5.9,15,100.0,en
B.A.P.S.,action comedy,1997,1.56,4.2,13,90.0,en
Turbo: A Power Rangers Movie,action adventure family fantasy science thriller,1997,5.44,4.6,60,99.0,en
Double Team,action science,1997,5.45,4.4,163,93.0,en
Paradise Road,drama history war,1997,1.46,6.2,21,122.0,en
All Over Me,drama romance,1997,4.07,5.9,15,93.0,en
Temptress Moon,drama foreign romance,1996,1.14,7.2,6,130.0,zh
Children of the Revolution,comedy drama,1996,1.13,5.3,9,101.0,en
Sprung,comedy romance,1997,1.51,5.0,7,105.0,en
Shall We Dance?,comedy drama music romance,1996,1.96,7.2,35,136.0,ja
The Second Jungle Book: Mowgli & Baloo,adventure family,1997,0.29,3.2,5,88.0,en
Schizopolis,comedy,1996,2.44,6.4,22,96.0,en
Rough Magic,comedy drama fantasy romance,1995,0.48,6.3,7,100.0,en
Buddy,adventure comedy family,1997,2.02,3.9,13,84.0,en
The Next Step,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1997,0.0,0.0,0,0.0,en
Dream with the Fishes,comedy,1997,0.68,7.7,10,97.0,en
Tetsuo II: Body Hammer,drama horror science thriller,1992,2.02,5.6,24,83.0,ja
Wild America,family,1997,7.48,5.8,28,106.0,en
A Simple Wish,adventure comedy family fantasy,1997,3.35,5.5,46,86.0,en
Event Horizon,horror mystery science,1997,11.34,6.4,752,96.0,en
Free Willy 3: The Rescue,adventure,1997,6.11,5.6,76,86.0,en
Desperate Measures,action drama thriller,1998,3.71,5.9,60,100.0,en
Excess Baggage,action comedy romance,1997,3.71,5.6,56,101.0,en
The Edge,action adventure drama,1997,15.17,6.8,359,117.0,en
The Assignment,action crime thriller,1997,4.23,6.6,41,119.0,en
Chasing Amy,comedy drama romance,1997,12.31,6.7,441,113.0,en
Telling Lies In America,drama music,1997,1.89,6.3,6,101.0,de
Wonderland,documentary,1997,0.0,0.0,0,0.0,en
Gang Related,action drama,1997,2.59,6.5,32,102.0,en
Deceiver,crime drama mystery thriller,1997,2.83,6.6,16,106.0,en
Mrs. Dalloway,drama romance,1997,1.34,5.4,7,97.0,en
Bang,drama,1995,0.68,6.0,1,98.0,en
The Boys,comedy,1997,0.53,5.4,7,107.0,fr
For Richer or Poorer,comedy,1997,8.41,5.6,43,115.0,en
Tar,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1997,0.0,0.0,0,0.0,en
The Postman,adventure drama,1997,6.54,6.1,306,177.0,en
Jackie Brown,comedy crime romance,1997,16.42,7.3,1580,154.0,en
Kundun,drama,1997,5.02,6.8,92,134.0,en
My Life in Pink,comedy drama,1997,3.24,7.2,28,88.0,fr
Senseless,comedy romance,1998,6.25,5.8,76,93.0,pt
Fallen,crime drama fantasy thriller,1998,6.38,6.6,346,124.0,en
Fallen Angels,action drama romance,1995,5.47,7.7,113,96.0,cn
A Letter from Death Row,crime drama mystery,1998,0.15,2.0,1,89.0,en
The Replacement Killers,action crime drama thriller,1998,9.38,6.0,128,87.0,en
Tokyo Fist,action drama romance thriller,1995,1.67,6.6,29,87.0,ja
Little City,comedy romance,1997,0.04,6.0,1,90.0,en
King of New York,crime thriller,1990,11.23,6.5,130,103.0,en
Paulie,comedy family,1998,3.91,6.0,83,91.0,en
Fireworks,crime drama,1997,5.04,7.6,118,103.0,ja
Primary Colors,comedy drama,1998,8.46,6.1,97,143.0,en
Two Girls and a Guy,drama romance,1997,4.97,5.4,25,84.0,en
Heaven's Burning,action crime drama thriller,1997,0.47,5.1,5,96.0,en
The Gingerbread Man,thriller,1998,7.88,5.7,37,114.0,en
Mr. Nice Guy,action comedy crime,1997,6.18,6.2,129,113.0,cn
Character,drama foreign history,1997,1.22,7.7,25,122.0,nl
Major League: Back to the Minors,comedy,1998,8.21,4.3,20,107.0,en
The Big Hit,action adventure comedy thriller,1998,5.98,6.1,112,91.0,en
Clockwatchers,comedy drama,1997,1.89,5.6,13,96.0,en
Little Men,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1998,0.0,0.0,0,98.0,en
Woo,comedy romance,1998,2.33,5.5,10,84.0,en
Bulworth,comedy drama,1998,3.39,6.3,66,108.0,en
The Opposite of Sex,comedy drama,1998,14.73,5.9,56,105.0,en
Insomnia,crime drama thriller,1997,3.72,6.6,55,96.0,no
Beyond Silence,drama,1996,1.92,6.5,12,109.0,de
Dear Jesse,action adventure animation comedy crime documentary drama family fantasy foreign history horror music mystery romance science tv thriller war western,1998,0.0,0.0,0,82.0,en
Hav Plenty,action comedy romance science thriller,1997,0.02,0.0,0,92.0,en
Smoke Signals,comedy drama,1998,2.27,6.7,25,89.0,en
Pi,drama mystery thriller,1998,10.62,7.1,600,84.0,en
Whatever,drama,1998,0.29,8.3,2,112.0,en
The Broadway Melody,drama music romance,1929,0.76,5.0,20,100.0,en
Marty,drama romance,1955,11.59,7.2,75,90.0,en
In the Heat of the Night,crime drama mystery thriller,1967,9.06,7.5,207,109.0,en
Oliver!,drama family music,1968,8.63,7.0,106,153.0,en
The French Connection,action crime thriller,1971,6.69,7.4,435,104.0,en
Chariots of Fire,drama history,1981,6.88,6.9,213,123.0,en
Metropolitan,comedy drama,1990,1.68,7.0,39,98.0,en
A Nightmare on Elm Street 3: Dream Warriors,horror thriller,1987,10.04,6.5,363,96.0,en
Friday the 13th,horror,1980,12.15,6.4,622,95.0,en
Friday the 13th Part III,horror thriller,1982,7.99,5.7,257,95.0,en
Friday the 13th Part VIII: Jason Takes Manhattan,horror thriller,1989,7.74,4.8,194,100.0,en
Prom Night III: The Last Kiss,comedy horror thriller,1990,1.51,5.1,15,97.0,en
This World: Then the Fireworks,crime drama thriller,1997,0.02,0.0,0,100.0,en
The Absent-Minded Professor,comedy family science,1961,3.71,6.7,41,96.0,en
Disturbing Behavior,horror mystery science,1998,11.05,5.5,104,84.0,en
Jane Austen's Mafia!,comedy crime,1998,6.05,5.4,52,84.0,en
Billy's Hollywood Screen Kiss,comedy romance,1998,3.99,5.2,11,92.0,en
The Million Dollar Duck,comedy family,1971,0.81,5.7,13,89.0,en
Candleshoe,family,1977,2.7,7.0,28,101.0,en
Cheetah,drama family,1989,0.01,5.9,10,83.0,en
Condorman,action adventure comedy,1981,3.33,5.6,37,90.0,en
A Far Off Place,adventure drama,1993,9.04,6.3,15,100.0,en
The Gnome-Mobile,comedy family fantasy,1967,1.48,5.8,23,85.0,en
The Great Mouse Detective,animation comedy family,1986,11.18,6.9,334,74.0,en
Hocus Pocus,comedy family fantasy,1993,10.39,6.5,491,96.0,en
The Incredible Journey,adventure family,1963,1.79,6.3,22,80.0,en
The Negotiator,action adventure crime drama mystery thriller,1998,7.66,6.8,593,140.0,en
Roger & Me,documentary history,1989,4.88,7.4,92,91.0,en
Tender Mercies,drama music romance,1983,1.16,6.1,22,92.0,en
Fandango,comedy drama,1985,11.35,6.6,39,91.0,en
The Night Porter,drama,1974,4.27,6.6,53,118.0,en
The Journey of Natty Gann,adventure,1985,1.29,6.4,27,101.0,en
The Mighty Ducks,comedy family,1992,6.11,6.4,203,101.0,en
One Magic Christmas,family fantasy,1985,11.89,5.7,15,88.0,en
Popeye,action adventure comedy family music,1980,9.13,5.3,157,114.0,en
Return from Witch Mountain,adventure family fantasy science,1978,3.94,5.6,38,95.0,en
The Man with Two Brains,comedy romance science,1983,12.16,6.2,131,93.0,en
Safe Men,comedy crime,1998,3.38,6.3,17,88.0,en
Who's Afraid of Virginia Woolf?,drama,1966,5.56,7.8,199,131.0,en
Doctor Dolittle,adventure comedy family fantasy music romance,1967,3.9,6.0,42,152.0,en
The Nutty Professor,comedy family romance science,1963,6.37,6.6,90,107.0,en
Charlotte's Web,animation drama family,1973,7.57,6.2,100,94.0,en
The Dark Crystal,fantasy,1982,13.52,7.3,233,93.0,en
Legend,adventure fantasy,1985,10.93,6.2,282,94.0,en
The Clan of the Cave Bear,adventure drama,1986,10.75,4.7,28,98.0,en
