,movieId,title,genres
73,74,Bed of Roses (1996),Drama|Romance
74,75,Big Bully (1996),Comedy|Drama
75,76,Screamers (1995),Action|Sci-Fi|Thriller
76,77,Nico Icon (1995),Documentary
77,78,Crossing Guard; The (1995),Action|Crime|Drama|Thriller
78,79,Juror; The (1996),Drama|Thriller
79,80,White Balloon; The (Badkonake sefid) (1995),Children|Drama
80,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
81,82,Antonia's Line (Antonia) (1995),Comedy|Drama
82,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
83,84,Last Summer in the Hamptons (1995),Comedy|Drama
84,85,Angels and Insects (1995),Drama|Romance
85,86,White Squall (1996),Action|Adventure|Drama
86,87,Dunston Checks In (1996),Children|Comedy
87,88,Black Sheep (1996),Comedy
88,89,Nick of Time (1995),Action|Thriller
89,90,The Journey of August King (1995),Drama
90,92,Mary Reilly (1996),Drama|Horror|Thriller
91,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance
92,94,Beautiful Girls (1996),Comedy|Drama|Romance
93,95,Broken Arrow (1996),Action|Adventure|Thriller
94,96,In the Bleak Midwinter (1995),Comedy|Drama
95,97,Hate (Haine; La) (1995),Crime|Drama
96,98,Shopping (1994),Action|Thriller
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary
98,100,City Hall (1996),Drama|Thriller
99,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
100,102,Mr. Wrong (1996),Comedy
101,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller
102,104,Happy Gilmore (1996),Comedy
103,105,Bridges of Madison County; The (1995),Drama|Romance
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
105,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
106,108,Catwalk (1996),Documentary
107,109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
108,110,Braveheart (1995),Action|Drama|War
109,111,Taxi Driver (1976),Crime|Drama|Thriller
110,112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
111,113,Before and After (1996),Drama|Mystery
112,114,Margaret's Museum (1995),Drama
113,115,Happiness Is in the Field (Bonheur est dans le pré; Le) (1995),Comedy
114,116,Anne Frank Remembered (1995),Documentary
115,117,Young Poisoner's Handbook; The (1995),Crime|Drama
116,118,If Lucy Fell (1996),Comedy|Romance
117,119,Steal Big; Steal Little (1995),Comedy
118,120,Race the Sun (1996),Adventure|Comedy|Drama
119,121,Boys of St. Vincent; The (1992),Drama
120,122,Boomerang (1992),Comedy|Romance
121,123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
122,124,Star Maker; The (Uomo delle stelle; L') (1995),Drama
123,125,Flirting With Disaster (1996),Comedy
124,126,NeverEnding Story III; The (1994),Adventure|Children|Fantasy
125,127,Silences of the Palace; The (Saimt el Qusur) (1994),Drama
126,128,Jupiter's Wife (1994),Documentary
127,129,Pie in the Sky (1996),Comedy|Romance
128,130,Angela (1995),Drama
129,131,Frankie Starlight (1995),Drama|Romance
130,132,Jade (1995),Thriller
131,133,Nueba Yol (1995),Comedy|Drama
132,134,Sonic Outlaws (1995),Documentary
133,135,Down Periscope (1996),Comedy
134,136,From the Journals of Jean Seberg (1995),Documentary
135,137,Man of the Year (1995),Documentary
136,138,Neon Bible; The (1995),Drama
137,139,Target (1995),Action|Drama
138,140,Up Close and Personal (1996),Drama|Romance
139,141,Birdcage; The (1996),Comedy
140,142,Shadows (Cienie) (1988),Drama
141,143,Gospa (1995),Drama
142,144,Brothers McMullen; The (1995),Comedy
143,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
144,146,Amazing Panda Adventure; The (1995),Adventure|Children
145,147,Basketball Diaries; The (1995),Drama
146,148,Awfully Big Adventure; An (1995),Drama
147,149,Amateur (1994),Crime|Drama|Thriller
148,150,Apollo 13 (1995),Adventure|Drama|IMAX
149,151,Rob Roy (1995),Action|Drama|Romance|War
150,152,Addiction; The (1995),Drama|Horror
151,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
152,154,Beauty of the Day (Belle de jour) (1967),Drama
153,155,Beyond Rangoon (1995),Adventure|Drama|War
154,156,Blue in the Face (1995),Comedy|Drama
155,157,Canadian Bacon (1995),Comedy|War
156,158,Casper (1995),Adventure|Children
157,159,Clockers (1995),Crime|Drama|Mystery
158,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
159,161,Crimson Tide (1995),Drama|Thriller|War
160,162,Crumb (1994),Documentary
161,163,Desperado (1995),Action|Romance|Western
162,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
163,165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
164,166,Doom Generation; The (1995),Comedy|Crime|Drama
165,167,Feast of July (1995),Drama
166,168,First Knight (1995),Action|Drama|Romance
167,169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
168,170,Hackers (1995),Action|Adventure|Crime|Thriller
169,171,Jeffrey (1995),Comedy|Drama
170,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
171,173,Judge Dredd (1995),Action|Crime|Sci-Fi
172,174,Jury Duty (1995),Comedy
173,175,Kids (1995),Drama
174,176,Living in Oblivion (1995),Comedy
175,177,Lord of Illusions (1995),Horror
176,178,Love & Human Remains (1993),Comedy|Drama
177,179,Mad Love (1995),Drama|Romance
178,180,Mallrats (1995),Comedy|Romance
179,181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
180,182,Moonlight and Valentino (1995),Drama|Romance
181,183,Mute Witness (1994),Comedy|Horror|Thriller
182,184,Nadja (1994),Drama
183,185,Net; The (1995),Action|Crime|Thriller
184,186,Nine Months (1995),Comedy|Romance
185,187,Party Girl (1995),Comedy
186,188,Prophecy; The (1995),Fantasy|Horror|Mystery
187,189,Reckless (1995),Comedy|Fantasy
188,190,Safe (1995),Thriller
189,191,Scarlet Letter; The (1995),Drama|Romance
190,192,The Show (1995),Documentary
191,193,Showgirls (1995),Drama
192,194,Smoke (1995),Comedy|Drama
193,195,Something to Talk About (1995),Comedy|Drama|Romance
194,196,Species (1995),Horror|Sci-Fi
195,197,Stars Fell on Henrietta; The (1995),Drama
196,198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
197,199,Umbrellas of Cherbourg; The (Parapluies de Cherbourg; Les) (1964),Drama|Musical|Romance
198,200,Tie That Binds; The (1995),Thriller
199,201,Three Wishes (1995),Drama|Fantasy
200,202,Total Eclipse (1995),Drama|Romance
201,203,To Wong Foo; Thanks for Everything! Julie Newmar (1995),Comedy
202,204,Under Siege 2: Dark Territory (1995),Action
203,205,Unstrung Heroes (1995),Comedy|Drama
204,206,Unzipped (1995),Documentary
205,207,Walk in the Clouds; A (1995),Drama|Romance
206,208,Waterworld (1995),Action|Adventure|Sci-Fi
207,209,White Man's Burden (1995),Drama
208,210,Wild Bill (1995),Western
209,211,Browning Version; The (1994),Drama
210,212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
211,213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
212,214,Before the Rain (Pred dozhdot) (1994),Drama|War
213,215,Before Sunrise (1995),Drama|Romance
214,216,Billy Madison (1995),Comedy
215,217,Babysitter; The (1995),Drama|Thriller
216,218,Boys on the Side (1995),Comedy|Drama
217,219,Cure; The (1995),Drama
218,220,Castle Freak (1995),Horror
219,222,Circle of Friends (1995),Drama|Romance
220,223,Clerks (1994),Comedy
221,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
222,225,Disclosure (1994),Drama|Thriller
223,226,Dream Man (1995),Thriller
224,227,Drop Zone (1994),Action|Thriller
225,228,Destiny Turns on the Radio (1995),Comedy
226,229,Death and the Maiden (1994),Drama|Thriller
227,230,Dolores Claiborne (1995),Drama|Thriller
228,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
229,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
230,233,Exotica (1994),Drama
231,234,Exit to Eden (1994),Comedy
232,235,Ed Wood (1994),Comedy|Drama
233,236,French Kiss (1995),Action|Comedy|Romance
234,237,Forget Paris (1995),Comedy|Romance
235,238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
236,239,Goofy Movie; A (1995),Animation|Children|Comedy|Romance
237,240,Hideaway (1995),Thriller
238,241,Fluke (1995),Children|Drama
239,242,Farinelli: il castrato (1994),Drama|Musical
240,243,Gordy (1995),Children|Comedy|Fantasy
241,244,Gumby: The Movie (1995),Animation|Children
242,245,The Glass Shield (1994),Crime|Drama
243,246,Hoop Dreams (1994),Documentary
244,247,Heavenly Creatures (1994),Crime|Drama
245,248,Houseguest (1994),Comedy
246,249,Immortal Beloved (1994),Drama|Romance
247,250,Heavyweights (Heavy Weights) (1995),Children|Comedy
248,251,Hunted; The (1995),Action
249,252,I.Q. (1994),Comedy|Romance
250,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
251,254,Jefferson in Paris (1995),Drama
252,255,Jerky Boys; The (1995),Comedy
253,256,Junior (1994),Comedy|Sci-Fi
254,257,Just Cause (1995),Mystery|Thriller
255,258,Kid in King Arthur's Court; A (1995),Adventure|Children|Comedy|Fantasy|Romance
256,259,Kiss of Death (1995),Crime|Drama|Thriller
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
258,261,Little Women (1994),Drama
259,262,Little Princess; A (1995),Children|Drama
260,263,Ladybird Ladybird (1994),Drama
261,264,Enfer; L' (1994),Drama
262,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
263,266,Legends of the Fall (1994),Drama|Romance|War|Western
264,267,Major Payne (1995),Comedy
265,268,Little Odessa (1994),Crime|Drama
266,269,My Crazy Life (Mi vida loca) (1993),Drama
267,270,Love Affair (1994),Drama|Romance
268,271,Losing Isaiah (1995),Drama
269,272,Madness of King George; The (1994),Comedy|Drama
270,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
271,274,Man of the House (1995),Comedy
272,275,Mixed Nuts (1994),Comedy
273,276,Milk Money (1994),Comedy|Romance
274,277,Miracle on 34th Street (1994),Drama
275,278,Miami Rhapsody (1995),Comedy
276,279,My Family (1995),Drama
277,280,Murder in the First (1995),Drama|Thriller
278,281,Nobody's Fool (1994),Comedy|Drama|Romance
279,282,Nell (1994),Drama
280,283,New Jersey Drive (1995),Crime|Drama
281,284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
282,285,Beyond Bedlam (1993),Drama|Horror
283,286,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
284,287,Nina Takes a Lover (1994),Comedy|Romance
285,288,Natural Born Killers (1994),Action|Crime|Thriller
286,289,Only You (1994),Comedy|Romance
287,290,Once Were Warriors (1994),Crime|Drama
288,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
289,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
290,294,Perez Family; The (1995),Comedy|Romance
291,295,Pyromaniac's Love Story; A (1995),Comedy|Romance
292,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
293,297,Panther (1995),Drama
294,298,Pushing Hands (Tui shou) (1992),Drama
295,299,Priest (1994),Drama
296,300,Quiz Show (1994),Drama
297,301,Picture Bride (Bijo photo) (1994),Drama|Romance
298,302,Queen Margot (Reine Margot; La) (1994),Drama|Romance
299,303,Quick and the Dead; The (1995),Action|Thriller|Western
300,304,Roommates (1995),Comedy|Drama
301,305,Ready to Wear (Pret-A-Porter) (1994),Comedy
302,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
303,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
304,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
305,309,Red Firecracker; Green Firecracker (Pao Da Shuang Deng) (1994),Drama
306,310,Rent-a-Kid (1995),Comedy
307,311,Relative Fear (1994),Horror|Thriller
308,312,Stuart Saves His Family (1995),Comedy
309,313,Swan Princess; The (1994),Animation|Children
310,314,Secret of Roan Inish; The (1994),Children|Drama|Fantasy|Mystery
311,315,Specialist; The (1994),Action|Drama|Thriller
312,316,Stargate (1994),Action|Adventure|Sci-Fi
313,317,Santa Clause; The (1994),Comedy|Drama|Fantasy
314,318,Shawshank Redemption; The (1994),Crime|Drama
315,319,Shallow Grave (1994),Comedy|Drama|Thriller
316,320,Suture (1993),Film-Noir|Thriller
317,321,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
318,322,Swimming with Sharks (1995),Comedy|Drama
319,324,Sum of Us; The (1994),Comedy|Drama
320,325,National Lampoon's Senior Trip (1995),Comedy
321,326,To Live (Huozhe) (1994),Drama
322,327,Tank Girl (1995),Action|Comedy|Sci-Fi
323,328,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
324,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
325,330,Tales from the Hood (1995),Action|Crime|Horror
326,331,Tom & Viv (1994),Drama
327,332,Village of the Damned (1995),Horror|Sci-Fi
328,333,Tommy Boy (1995),Comedy
329,334,Vanya on 42nd Street (1994),Drama
330,335,Underneath (1995),Mystery|Thriller
331,336,Walking Dead; The (1995),Drama|War
332,337,What's Eating Gilbert Grape (1993),Drama
333,338,Virtuosity (1995),Action|Sci-Fi|Thriller
334,339,While You Were Sleeping (1995),Comedy|Romance
335,340,War; The (1994),Adventure|Drama|War
336,341,Double Happiness (1994),Drama
337,342,Muriel's Wedding (1994),Comedy
338,343,Baby-Sitters Club; The (1995),Children
339,344,Ace Ventura: Pet Detective (1994),Comedy
340,345,Adventures of Priscilla; Queen of the Desert; The (1994),Comedy|Drama
341,346,Backbeat (1993),Drama|Musical
342,347,Bitter Moon (1992),Drama|Film-Noir|Romance
343,348,Bullets Over Broadway (1994),Comedy
344,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
345,350,Client; The (1994),Drama|Mystery|Thriller
346,351,Corrina; Corrina (1994),Comedy|Drama|Romance
347,352,Crooklyn (1994),Comedy|Drama
348,353,Crow; The (1994),Action|Crime|Fantasy|Thriller
349,354,Cobb (1994),Drama
350,355,Flintstones; The (1994),Children|Comedy|Fantasy
351,356,Forrest Gump (1994),Comedy|Drama|Romance|War
352,357,Four Weddings and a Funeral (1994),Comedy|Romance
353,358,Higher Learning (1995),Drama
354,359,I Like It Like That (1994),Comedy|Drama|Romance
355,360,I Love Trouble (1994),Action|Comedy
356,361,It Could Happen to You (1994),Comedy|Drama|Romance
357,362,Jungle Book; The (1994),Adventure|Children|Romance
358,363,Wonderful; Horrible Life of Leni Riefenstahl; The (Macht der Bilder: Leni Riefenstahl; Die) (1993),Documentary
359,364,Lion King; The (1994),Adventure|Animation|Children|Drama|Musical|IMAX
360,365,Little Buddha (1993),Drama
361,366,Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale; A) (1994),Drama|Horror|Mystery|Thriller
362,367,Mask; The (1994),Action|Comedy|Crime|Fantasy
363,368,Maverick (1994),Adventure|Comedy|Western
364,369,Mrs. Parker and the Vicious Circle (1994),Drama
365,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
366,371,Paper; The (1994),Comedy|Drama
367,372,Reality Bites (1994),Comedy|Drama|Romance
368,373,Red Rock West (1992),Thriller
369,374,Richie Rich (1994),Children|Comedy
370,375,Safe Passage (1994),Drama
371,376,River Wild; The (1994),Action|Thriller
372,377,Speed (1994),Action|Romance|Thriller
373,378,Speechless (1994),Comedy|Romance
374,379,Timecop (1994),Action|Sci-Fi|Thriller
375,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
376,381,When a Man Loves a Woman (1994),Drama|Romance
377,382,Wolf (1994),Drama|Horror|Romance|Thriller
378,383,Wyatt Earp (1994),Western
379,384,Bad Company (1995),Action|Crime|Drama
380,385,Man of No Importance; A (1994),Drama
381,386,S.F.W. (1994),Drama
382,387,Low Down Dirty Shame; A (1994),Action|Comedy
383,388,Boys Life (1995),Drama
384,389,Colonel Chabert; Le (1994),Drama|Romance|War
385,390,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
386,391,Jason's Lyric (1994),Crime|Drama
387,392,Secret Adventures of Tom Thumb; The (1993),Adventure|Animation
388,393,Street Fighter (1994),Action|Adventure|Fantasy
389,394,Coldblooded (1995),Comedy
390,395,Desert Winds (1995),Drama|Fantasy|Romance
391,396,Fall Time (1995),Drama
392,397,Fear; The (1995),Horror
393,398,Frank and Ollie (1995),Documentary
394,399,Girl in the Cadillac (1995),Drama
395,400,Homage (1995),Drama
396,401,Mirage (1995),Action|Thriller
397,402,Open Season (1996),Comedy
398,403,Two Crimes (Dos crímenes) (1995),Comedy|Crime|Drama
399,404,Brother Minister: The Assassination of Malcolm X (1994),Documentary
400,405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
401,406,Federal Hill (1994),Drama
402,407,In the Mouth of Madness (1995),Horror|Thriller
403,408,8 Seconds (1994),Drama
404,409,Above the Rim (1994),Crime|Drama
405,410,Addams Family Values (1993),Children|Comedy|Fantasy
406,411,Martin Lawrence: You So Crazy (1994),Comedy|Documentary
407,412,Age of Innocence; The (1993),Drama
408,413,Airheads (1994),Comedy
409,414,Air Up There; The (1994),Comedy
410,415,Another Stakeout (1993),Comedy|Thriller
411,416,Bad Girls (1994),Western
412,417,Barcelona (1994),Comedy|Romance
413,418,Being Human (1993),Drama
414,419,Beverly Hillbillies; The (1993),Comedy
415,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
416,421,Black Beauty (1994),Adventure|Children|Drama
417,422,Blink (1994),Thriller
418,423,Blown Away (1994),Action|Thriller
419,424,Blue Chips (1994),Drama
420,425,Blue Sky (1994),Drama|Romance
421,426,Body Snatchers (1993),Horror|Sci-Fi|Thriller
422,427,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
423,428,Bronx Tale; A (1993),Drama
424,429,Cabin Boy (1994),Comedy
425,430,Calendar Girl (1993),Comedy|Drama
426,431,Carlito's Way (1993),Crime|Drama
427,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
428,433,Clean Slate (1994),Comedy
429,434,Cliffhanger (1993),Action|Adventure|Thriller
430,435,Coneheads (1993),Comedy|Sci-Fi
431,436,Color of Night (1994),Drama|Thriller
432,437,Cops and Robbersons (1994),Comedy
433,438,Cowboy Way; The (1994),Action|Comedy|Drama
434,439,Dangerous Game (1993),Drama
435,440,Dave (1993),Comedy|Romance
436,441,Dazed and Confused (1993),Comedy
437,442,Demolition Man (1993),Action|Adventure|Sci-Fi
438,443,Endless Summer 2; The (1994),Adventure|Documentary
439,444,Even Cowgirls Get the Blues (1993),Comedy|Romance
440,445,Fatal Instinct (1993),Comedy
441,446,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
442,447,Favor; The (1994),Comedy|Romance
443,448,Fearless (1993),Drama
444,449,Fear of a Black Hat (1994),Comedy
445,450,With Honors (1994),Comedy|Drama
446,451,Flesh and Bone (1993),Drama|Mystery|Romance
447,452,Widows' Peak (1994),Drama
448,453,For Love or Money (1993),Comedy|Romance
449,454,Firm; The (1993),Drama|Thriller
450,455,Free Willy (1993),Adventure|Children|Drama
451,456,Fresh (1994),Crime|Drama|Thriller
452,457,Fugitive; The (1993),Thriller
453,458,Geronimo: An American Legend (1993),Drama|Western
454,459,Getaway; The (1994),Action|Adventure|Crime|Drama|Romance|Thriller
455,460,Getting Even with Dad (1994),Comedy
456,461,Go Fish (1994),Drama|Romance
457,462,Good Man in Africa; A (1994),Action|Adventure
458,463,Guilty as Sin (1993),Crime|Drama|Thriller
459,464,Hard Target (1993),Action|Adventure|Crime|Thriller
460,465,Heaven & Earth (1993),Action|Drama|War
461,466,Hot Shots! Part Deux (1993),Action|Comedy|War
462,467,Live Nude Girls (1995),Comedy
463,468,Englishman Who Went Up a Hill But Came Down a Mountain; The (1995),Comedy|Romance
464,469,House of the Spirits; The (1993),Drama|Romance
465,470,House Party 3 (1994),Comedy
466,471,Hudsucker Proxy; The (1994),Comedy
467,472,I'll Do Anything (1994),Comedy|Drama
468,473,In the Army Now (1994),Comedy|War
469,474,In the Line of Fire (1993),Action|Thriller
470,475,In the Name of the Father (1993),Drama
471,476,Inkwell; The (1994),Comedy|Drama
472,477,What's Love Got to Do with It? (1993),Drama|Musical
473,478,Jimmy Hollywood (1994),Comedy|Crime|Drama
474,479,Judgment Night (1993),Action|Crime|Thriller
475,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
476,481,Kalifornia (1993),Drama|Thriller
477,482,Killing Zoe (1994),Crime|Drama|Thriller
478,483,King of the Hill (1993),Drama
479,484,Lassie (1994),Adventure|Children
480,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
481,486,Life with Mikey (1993),Comedy
482,487,Lightning Jack (1994),Comedy|Western
483,488,M. Butterfly (1993),Drama|Romance
484,489,Made in America (1993),Comedy
485,490,Malice (1993),Thriller
486,491,Man Without a Face; The (1993),Drama
487,492,Manhattan Murder Mystery (1993),Comedy|Mystery
488,493,Menace II Society (1993),Action|Crime|Drama
489,494,Executive Decision (1996),Action|Adventure|Thriller
490,495,In the Realm of the Senses (Ai no corrida) (1976),Drama
491,496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
492,497,Much Ado About Nothing (1993),Comedy|Romance
493,498,Mr. Jones (1993),Drama|Romance
494,499,Mr. Wonderful (1993),Comedy|Romance
495,500,Mrs. Doubtfire (1993),Comedy|Drama
496,501,Naked (1993),Drama
497,502,Next Karate Kid; The (1994),Action|Children|Romance
498,503,New Age; The (1994),Drama
499,504,No Escape (1994),Action|Drama|Sci-Fi
500,505,North (1994),Comedy
501,506,Orlando (1992),Drama|Fantasy|Romance
502,507,Perfect World; A (1993),Crime|Drama|Thriller
503,508,Philadelphia (1993),Drama
504,509,Piano; The (1993),Drama|Romance
505,510,Poetic Justice (1993),Drama
506,511,Program; The (1993),Action|Drama
507,512,Puppet Masters; The (1994),Horror|Sci-Fi
508,513,Radioland Murders (1994),Comedy|Mystery|Romance
509,514,Ref; The (1994),Comedy
510,515,Remains of the Day; The (1993),Drama|Romance
511,516,Renaissance Man (1994),Comedy|Drama
512,517,Rising Sun (1993),Action|Drama|Mystery
513,518,Road to Wellville; The (1994),Comedy
514,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
515,520,Robin Hood: Men in Tights (1993),Comedy
516,521,Romeo Is Bleeding (1993),Crime|Thriller
517,522,Romper Stomper (1992),Action|Drama
518,523,Ruby in Paradise (1993),Drama
519,524,Rudy (1993),Drama
520,525,Saint of Fort Washington; The (1993),Drama
521,526,Savage Nights (Nuits fauves; Les) (1992),Drama
522,527,Schindler's List (1993),Drama|War
523,528,Scout; The (1994),Comedy|Drama
524,529,Searching for Bobby Fischer (1993),Drama
525,530,Second Best (1994),Drama
526,531,Secret Garden; The (1993),Children|Drama
527,532,Serial Mom (1994),Comedy|Crime|Horror
528,533,Shadow; The (1994),Action|Adventure|Fantasy|Mystery
529,534,Shadowlands (1993),Drama|Romance
530,535,Short Cuts (1993),Drama
531,536,Simple Twist of Fate; A (1994),Drama
532,537,Sirens (1994),Drama
533,538,Six Degrees of Separation (1993),Drama
534,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
535,540,Sliver (1993),Thriller
536,541,Blade Runner (1982),Action|Sci-Fi|Thriller
537,542,Son in Law (1993),Comedy|Drama|Romance
538,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
539,544,Striking Distance (1993),Action|Crime
540,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
541,547,Surviving the Game (1994),Action|Adventure|Thriller
542,548,Terminal Velocity (1994),Action|Mystery|Thriller
