,Unnamed: 0,adult,budget,id,imdb_id,original_language,popularity,poster_path,release_date,revenue,runtime,status,title,video,vote_average,vote_count
13,13,False,44000000,10858,113987,en,5.092,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,1995-12-22,13681765.0,192.0,Released,Nixon,False,7.1,72.0
14,14,False,98000000,1408,112760,en,7.284477,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1995-12-22,10017322.0,119.0,Released,Cutthroat Island,False,5.7,137.0
15,15,False,52000000,524,112641,en,10.137389,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,1995-11-22,116112375.0,178.0,Released,Casino,False,7.8,1343.0
16,16,False,16500000,4584,114388,en,10.673167,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,1995-12-13,135000000.0,136.0,Released,Sense and Sensibility,False,7.2,364.0
17,17,False,4000000,5,113101,en,9.026586,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,1995-12-09,4300000.0,98.0,Released,Four Rooms,False,6.5,539.0
18,18,False,30000000,9273,112281,en,8.205448,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,1995-11-10,212385533.0,90.0,Released,Ace Ventura: When Nature Calls,False,6.1,1128.0
19,19,False,60000000,11517,113845,en,7.337906,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,1995-11-21,35431113.0,103.0,Released,Money Train,False,5.4,224.0
20,20,False,30250000,8012,113161,en,12.669608,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,1995-10-20,115101622.0,105.0,Released,Get Shorty,False,6.4,305.0
21,21,False,0,1710,112722,en,10.701801,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,1995-10-27,0.0,124.0,Released,Copycat,False,6.5,199.0
22,22,False,50000000,9691,112401,en,11.065939,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,1995-10-06,30303072.0,132.0,Released,Assassins,False,6.0,394.0
23,23,False,0,12665,114168,en,12.133094,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,1995-10-27,0.0,111.0,Released,Powder,False,6.3,143.0
24,24,False,3600000,451,113627,en,10.332025,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,1995-10-27,49800000.0,112.0,Released,Leaving Las Vegas,False,7.1,365.0
25,25,False,0,16420,114057,en,1.845899,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,1995-12-15,0.0,123.0,Released,Othello,False,7.0,33.0
26,26,False,12000000,9263,114011,en,8.681325,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,1995-10-20,27400000.0,100.0,Released,Now and Then,False,6.6,91.0
27,27,False,0,17015,114117,en,2.228434,/si8911IezMvAnQFDvyg1nKzDlD.jpg,1995-09-27,0.0,104.0,Released,Persuasion,False,7.4,36.0
28,28,False,18000000,902,112682,fr,9.822423,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,1995-05-16,1738611.0,108.0,Released,The City of Lost Children,False,7.6,308.0
29,29,False,0,37557,115012,zh,1.100915,/qcoOCoN7viOhboGwhYXyApdDuiq.jpg,1995-04-30,0.0,108.0,Released,Shanghai Triad,False,6.5,17.0
30,30,False,0,9909,112792,en,9.481338,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,1995-08-11,180000000.0,99.0,Released,Dangerous Minds,False,6.4,249.0
31,31,False,29500000,63,114746,en,12.297305,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,1995-12-29,168840000.0,129.0,Released,Twelve Monkeys,False,7.4,2470.0
32,32,False,0,78802,114952,fr,0.745542,/k6ODtR38dKEfuzSGjggr8KDyAF4.jpg,1996-09-18,0.0,50.0,Released,Wings of Courage,False,6.8,4.0
33,33,False,30000000,9598,112431,en,14.404764,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,1995-07-18,254134910.0,89.0,Released,Babe,False,6.0,756.0
34,34,False,0,47018,112637,en,1.493361,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,1995-11-08,0.0,121.0,Released,Carrington,False,6.4,16.0
35,35,False,11000000,687,112818,en,6.891317,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,1995-12-29,39363635.0,122.0,Released,Dead Man Walking,False,7.3,350.0
36,36,False,0,139405,112286,en,0.114469,/lKOAyy098yjoot8cutYsStVO1WS.jpg,1995-10-20,0.0,51.0,Released,Across the Sea of Time,False,3.5,2.0
37,37,False,0,33689,113442,en,7.777735,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,1995-11-17,0.0,101.0,Released,It Takes Two,False,6.1,149.0
38,38,False,12000000,9603,112697,en,9.882383,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,1995-07-19,0.0,97.0,Released,Clueless,False,6.9,828.0
39,39,False,0,34615,112749,en,0.894647,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,1995-12-15,676525.0,106.0,Released,Cry: the Beloved Country,False,6.7,13.0
40,40,False,0,31174,114279,en,4.561387,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,1995-12-29,0.0,104.0,Released,Richard III,False,6.9,50.0
41,41,False,10000000,11443,112819,en,9.87957,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,1995-10-06,0.0,119.0,Released,Dead Presidents,False,6.6,80.0
42,42,False,19000000,35196,114272,en,10.979269,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,1995-12-29,0.0,117.0,Released,Restoration,False,6.3,30.0
43,43,False,18000000,9312,113855,en,10.870138,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,1995-08-18,122195920.0,101.0,Released,Mortal Kombat,False,5.4,452.0
44,44,False,20000000,577,114681,en,10.448481,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,1995-05-20,21284514.0,106.0,Released,To Die For,False,6.7,177.0
45,45,False,10000000,11861,113347,en,4.485958,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,1995-10-06,23574130.0,116.0,Released,How To Make An American Quilt,False,6.5,38.0
46,46,False,33000000,807,114369,en,18.45743,/8zw8IL4zEPjkh8Aysdcd0FwGMb0.jpg,1995-09-22,327311859.0,127.0,Released,Se7en,False,8.1,5915.0
47,47,False,55000000,10530,114148,en,13.280069,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,1995-06-14,346079773.0,81.0,Released,Pocahontas,False,6.7,1509.0
48,48,False,0,8391,114916,en,3.302524,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,1995-05-05,0.0,96.0,Released,When Night Is Falling,False,5.9,10.0
49,49,False,6000000,629,114814,en,16.302466,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,1995-07-19,23341568.0,106.0,Released,The Usual Suspects,False,8.1,3334.0
50,50,False,0,117164,109950,en,0.595949,/hwbKoOSUuzuN2AQppnUxwwd4qOD.jpg,1994-11-22,0.0,93.0,Released,Guardian Angel,False,6.3,3.0
51,51,False,15000000,11448,113819,en,15.899134,/2NcPyb9vPehZ0aOjYayDAW1XeVy.jpg,1995-09-13,6700000.0,95.0,Released,Mighty Aphrodite,False,6.7,145.0
52,52,False,0,49133,110299,it,1.361286,/407nYlg60AOj95lqDZ4tvUTTm1k.jpg,1994-01-01,0.0,116.0,Released,Lamerica,False,7.7,11.0
53,53,False,0,26441,112499,en,5.982764,/erWfSEcjO4LG69Tlm2mED5JMSqH.jpg,1995-09-29,0.0,100.0,Released,The Big Green,False,5.2,41.0
54,54,False,0,97406,113158,en,4.093443,/5OTTRuKfiso75xofN8Vl5mRXOQP.jpg,1995-05-19,0.0,115.0,Released,Georgia,False,6.1,15.0
55,55,False,0,124057,113541,en,0.307075,/tL9ImxOccEshRlgmrKQabKH2tCd.jpg,1997-07-08,0.0,89.0,Released,Kids of the Round Table,False,3.0,1.0
56,56,False,0,9089,113321,en,8.416802,/97EKLaslQ4gzkvALtqGCDOmsGHk.jpg,1995-11-02,17519169.0,103.0,Released,Home for the Holidays,False,6.3,39.0
57,57,False,0,11010,110877,it,10.168437,/qkq2JfINRQi4Iu9VTMMtQFfmGWZ.jpg,1994-09-22,0.0,108.0,Released,The Postman,False,7.6,181.0
58,58,False,0,99040,112714,fr,0.120789,/8RCRrSAY8e3Qn5p9cNv188ogmZQ.jpg,1995-09-29,0.0,100.0,Released,The Confessional,False,6.5,2.0
59,59,False,45000000,11359,113419,en,10.673296,/l16BtfILyWxYwSqzofL3V1rMSwe.jpg,1995-07-14,0.0,96.0,Released,The Indian in the Cupboard,False,5.9,136.0
60,60,False,20000000,17182,116260,en,4.733526,/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,0.0,101.0,Released,Eye for an Eye,False,5.8,65.0
61,61,False,0,2054,113862,en,7.137117,/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,1995-12-29,106269971.0,137.0,Released,Mr. Holland's Opus,False,6.9,115.0
62,62,False,0,10607,116126,en,11.700115,/l6D9f9WbxdI4tyCmJGs56y8tQla.jpg,1996-01-12,0.0,89.0,Released,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,False,6.2,192.0
63,63,False,0,19760,118002,en,2.174487,/e0iwJJiLjk8Z6A9TuL3neX504H3.jpg,1996-01-12,0.0,96.0,Released,Two If by Sea,False,4.5,14.0
64,64,False,15000000,9536,115683,en,6.387469,/1bAUaipv3gDU1pATGwziyq1VTwZ.jpg,1996-01-12,0.0,88.0,Released,Bio-Dome,False,4.4,110.0
65,65,False,0,11525,116839,en,2.49535,/i0hBsWBLw64XRehFzCL44PaCs1y.jpg,1996-01-12,2409225.0,92.0,Released,Lawnmower Man 2: Beyond Cyberspace,False,2.8,32.0
66,66,False,0,40628,114753,en,4.046208,/k4jOFtt7NqEtLnoI2Rs3BqKNHtI.jpg,1995-10-22,0.0,85.0,Released,Two Bits,False,5.4,11.0
67,67,False,0,4482,113149,fr,2.518051,/dDB8mMKRL28gHsRcGPoMQYrzaXg.jpg,1995-02-08,0.0,95.0,Released,French Twist,False,6.0,43.0
68,68,False,3500000,10634,113118,en,14.56965,/kkoGT4bnK5oGiNbzGGcXzrXMSxn.jpg,1995-04-26,28215918.0,91.0,Released,Friday,False,7.0,513.0
69,69,False,19000000,755,116367,en,15.339153,/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg,1996-01-19,25836616.0,108.0,Released,From Dusk Till Dawn,False,6.9,1644.0
70,70,False,50000000,11859,113010,en,5.912223,/ew0LrIN5fpxdimrErEy9Yry3Nn2.jpg,1995-11-03,11534477.0,91.0,Released,Fair Game,False,4.1,54.0
71,71,False,0,28387,113537,en,3.367276,/urPxxjylNUHmoNcGkMgHStMTxhF.jpg,1995-10-06,718490.0,96.0,Released,Kicking and Screaming,False,7.0,36.0
72,72,False,0,48750,113828,fr,1.479446,/ePJCk8puXx28CtvpSpmezpwfVt8.jpg,1995-03-22,0.0,175.0,Released,Les Miserables,False,6.6,8.0
73,73,False,0,20927,115644,en,10.412194,/kTEpzjzyeYER1WuCm7Seul4Fatc.jpg,1996-01-26,19030691.0,87.0,Released,Bed of Roses,False,5.1,27.0
74,74,False,15000000,36929,115676,en,2.936443,/wtFekK9VKWujQW9R9c6sYbir6wm.jpg,1996-01-26,2042530.0,90.0,Released,Big Bully,False,3.9,16.0
75,75,False,20000000,9102,114367,en,12.758848,/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg,1995-09-08,5781885.0,108.0,Released,Screamers,False,6.1,154.0
76,76,False,0,124626,113973,en,0.133893,/tuIDKBp92R4tGFOB46MofvakfiY.jpg,1995-02-18,0.0,70.0,Released,Nico Icon,False,7.3,3.0
77,77,False,0,27526,112744,en,5.756462,/mMXL84GqES2HYpJ0Zt18I7m6mfU.jpg,1995-11-15,0.0,111.0,Released,The Crossing Guard,False,6.1,74.0
78,78,False,44000000,9623,116731,en,6.010579,/7aXOB0DyZPxNOYbaQ2oiNn64jm3.jpg,1996-02-02,0.0,118.0,Released,The Juror,False,5.5,91.0
79,79,False,0,46785,112445,fa,1.196256,/96UDOJNgJXHmQMJqA79bKS9PR8i.jpg,1995-01-01,0.0,85.0,Released,The White Balloon,False,7.5,20.0
80,80,False,8000000,400,114660,en,4.486179,/ysKIolKO0376Nl5DV1fDAAPudEq.jpg,1995-12-01,529766.0,116.0,Released,Things to Do in Denver When You're Dead,False,6.7,87.0
81,81,False,900000,880,112379,nl,2.030174,/bIQp2SJrVXiQttv9hXeqliQox0K.jpg,1995-09-12,0.0,102.0,Released,Antonia's Line,False,7.2,26.0
82,82,False,0,146599,114039,en,0.252287,/tsJSlkFSZPQhhVuKrYJXNClYaPD.jpg,1996-01-26,0.0,115.0,Released,Once Upon a Time... When We Were Colored,False,4.5,2.0
83,83,False,0,188588,113612,en,0.531159,/pfgpkDNcwSi1x4jVzeLqvxTwX5a.jpg,1995-11-22,0.0,108.0,Released,Last Summer in the Hamptons,False,0.0,0.0
84,84,False,0,8447,112365,en,2.15166,/1QyCF6IFoX5WJIYHOkmLa3vzU0r.jpg,1995-09-10,0.0,118.0,Released,Angels and Insects,False,6.3,17.0
85,85,False,38000000,10534,118158,en,9.568604,/3a5nomeyzJF4gG26HouCtce99ki.jpg,1996-02-02,10300000.0,129.0,Released,White Squall,False,6.3,86.0
86,86,False,16000000,17414,116151,en,4.814825,/lXSWbUA3T2o792SYdbfFKFTcSC1.jpg,1996-01-12,0.0,88.0,Released,Dunston Checks In,False,5.1,59.0
87,87,False,0,13997,115697,en,8.963037,/2wsaboVhKXpsLchoaXi0oWmQ7xM.jpg,1996-02-01,32.0,87.0,Released,Black Sheep,False,6.0,124.0
88,88,False,8169363,2086,113972,en,6.848591,/3kYcyD9yAjdjimYlIiGPfdMVbZb.jpg,1995-11-22,8175346.0,90.0,Released,Nick of Time,False,6.1,190.0
89,89,False,0,61548,113490,en,0.411424,/hT5CF2RJPAVi9TE4iKxGYAufY4J.jpg,1995-09-14,0.0,91.0,Released,The Journey of August King,False,6.7,3.0
90,90,False,47000000,9095,117002,en,12.866139,/Oesh4pN5J2ing4flkgkiVdxILP.jpg,1996-02-23,12379402.0,104.0,Released,Mary Reilly,False,5.7,77.0
91,91,False,14000000,12158,114825,en,9.071127,/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg,1995-10-26,19800000.0,100.0,Released,Vampire in Brooklyn,False,4.5,113.0
92,92,False,0,9283,115639,en,4.670562,/8leYqrAL6EubYjOCZuO6ELPdLYe.jpg,1996-02-09,0.0,112.0,Released,Beautiful Girls,False,6.6,103.0
93,93,False,50000000,9208,115759,en,14.957626,/avqUG5RYB93rwSUNL5r16Vtbc9g.jpg,1996-02-09,150270147.0,108.0,Released,Broken Arrow,False,5.7,459.0
94,94,False,0,40154,113403,en,0.513391,/6u2N0gn6uUWF4cSdkXmVB8E8q2X.jpg,1995-12-01,0.0,99.0,Released,A Midwinter's Tale,False,7.5,6.0
95,95,False,3000000,406,113247,fr,12.108196,/jTzBED0leGPwWDqNewye11qzJgd.jpg,1995-05-31,0.0,98.0,Released,La Haine,False,7.9,695.0
96,96,False,0,45549,111173,en,2.657647,/jdYL6f0KXnYBcnWnwGtnanJtKlE.jpg,1994-12-06,0.0,105.0,Released,Shopping,False,5.6,13.0
97,97,False,0,63076,113283,en,0.638211,/j9k3UTx7OZ0xoCws1oACYQZFF5N.jpg,1995-12-27,0.0,106.0,Released,Heidi Fleiss: Hollywood Madam,False,6.8,4.0
98,98,False,0,11062,115907,en,4.807223,/ttdjD9NpxXsTJidPT3o1Gk0oTkG.jpg,1996-02-16,0.0,111.0,Released,City Hall,False,6.0,67.0
99,99,False,7000000,13685,115734,en,6.904831,/iuO10cRKrMfql5yc8YTgdfHt7gR.jpg,1996-02-21,560069.0,91.0,Released,Bottle Rocket,False,6.8,285.0
100,100,False,0,47475,117102,en,3.329264,/8oZW1loLEczN1BU60YobsJJFdSR.jpg,1996-02-16,0.0,96.0,Released,Mr. Wrong,False,3.3,16.0
101,101,False,18000000,2045,118040,en,2.464425,/qQek3X5Yv0iLZqQ98KWIKtE3x4m.jpg,1996-02-23,0.0,106.0,Released,Unforgettable,False,5.3,22.0
102,102,False,12000000,9614,116483,en,9.592265,/pG5edeKkntnt5A799Y0UNI5hi9W.jpg,1996-02-16,41205099.0,92.0,Released,Happy Gilmore,False,6.5,767.0
103,103,False,24000000,688,112579,en,5.951077,/czRuGEx9Yhnh6nApirTLPToxHNu.jpg,1995-05-28,182016617.0,135.0,Released,The Bridges of Madison County,False,7.3,397.0
104,104,False,0,11907,110251,de,1.015068,/lnfMQ6K2EgJpn2JZTadnaufiwiR.jpg,1994-11-07,0.0,104.0,Released,Nobody Loves Me,False,5.1,5.0
105,105,False,0,10874,117110,en,6.902423,/5A8gKzOrF9Z7tSUX6xd5dEx4NXf.jpg,1996-02-16,34327391.0,100.0,Released,Muppet Treasure Island,False,6.5,93.0
106,106,False,0,89333,112646,en,0.976707,/yhFcbTCnsWjg3nH3PLL6RoltjqS.jpg,1995-12-08,0.0,95.0,Released,Catwalk,False,7.0,2.0
107,107,False,0,96357,113276,en,0.001346,/tQ6HEWNxvbeF2WklTVEp3su446F.jpg,1995-05-20,0.0,110.0,Released,Headless Body in Topless Bar,False,0.0,0.0
108,108,False,72000000,197,112573,en,20.755149,/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg,1995-05-24,210000000.0,177.0,Released,Braveheart,False,7.7,3404.0
109,109,False,1300000,103,75314,en,14.092713,/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg,1976-02-07,28262574.0,114.0,Released,Taxi Driver,False,8.1,2632.0
110,110,False,7500000,33542,113326,cn,12.314278,/y7AxKPPCtZyrGQKvxzn5zTQ8wFm.jpg,1995-01-30,32392047.0,91.0,Released,Rumble in the Bronx,False,6.5,245.0
111,111,False,35000000,43566,115645,en,2.938293,/yTDzXDKNGlmGYk5HuEeZUAypo1p.jpg,1996-02-23,0.0,108.0,Released,Before and After,False,5.8,37.0
112,112,False,0,71754,113774,en,0.372697,/l00ALsdVyRGmPIp5EWlEoplki0X.jpg,1995-09-13,0.0,114.0,Released,Margaret's Museum,False,7.5,2.0
113,113,False,13365000,43612,112556,en,1.254885,/4PlYwKSqsjKFr4hjh61KukRIRvy.jpg,1995-01-31,0.0,106.0,Released,Happiness Is in the Field,False,7.0,23.0
114,114,False,0,51352,112373,en,0.243986,/x2n4YIVsms3JL8qCfzrbOg2yx0x.jpg,1995-06-08,1.0,117.0,Released,Anne Frank Remembered,False,7.3,4.0
115,115,False,0,16934,115033,en,6.178497,/yLEdmdH8sgK0hbHT4Oie1l1pt5d.jpg,1995-01-20,0.0,99.0,Released,The Young Poisoner's Handbook,False,6.9,19.0
116,116,False,0,10324,116606,en,2.891918,/kFjffUg7zcST9AW4GoWiJFoNsH3.jpg,1996-03-08,0.0,92.0,Released,If Lucy Fell,False,5.4,11.0
117,117,False,25000000,78406,114536,en,1.522412,/dMSEHHiHaCS5lZ7gfkuAH701sBW.jpg,1995-09-29,6278139.0,113.0,Released,Steal Big Steal Little,False,5.1,7.0
118,118,False,0,55731,117427,en,1.317878,/odifQ57irGc3k0x85djZ0yT2Inn.jpg,1996-03-22,0.0,100.0,Released,Race the Sun,False,5.2,21.0
119,119,False,0,32119,106473,en,0.86539,/zC4WsoeXN2wCrUjNzu4iu7ph17Z.jpg,1992-12-06,0.0,90.0,Released,The Boys of St. Vincent,False,7.0,7.0
120,120,False,40000000,11066,103859,en,6.506983,/3dDufFHAuVXpfMdXkDUC0M0Y5TL.jpg,1992-06-30,70100000.0,117.0,Released,Boomerang,False,5.4,139.0
121,121,False,0,11104,109424,cn,6.778979,/yQUjZTzwgskqOJdr3jhwQ4yTkvb.jpg,1994-07-14,0.0,102.0,Released,Chungking Express,False,7.9,249.0
122,122,False,0,37975,114808,it,1.702639,/zRLV8Gz4x3k4Dc4Zxbmz7jsqNoN.jpg,1995-09-21,0.0,113.0,Released,The Star Maker,False,6.8,29.0
123,123,False,7000000,2074,116324,en,5.579088,/pxxYa68L05ZR4vMwc6yB8KqXslo.jpg,1996-03-22,14702438.0,92.0,Released,Flirting with Disaster,False,6.3,66.0
124,124,False,17000000,27793,110647,en,6.252377,/driZCEKL79PaCsZNICSU3xd59sk.jpg,1994-10-26,0.0,95.0,Released,The Neverending Story III: Escape from Fantasia,False,4.4,105.0
125,125,False,0,44284,111055,ar,0.406754,/3M4bH7A2L6wrHeueTUwr5PKYkfS.jpg,1994-09-30,0.0,116.0,Released,The Silences of the Palace,False,4.3,3.0
126,126,False,0,290157,110217,en,0.001178,/uUi23HjvDFYGfuVlCBGozUY1Ab4.jpg,1995-01-01,0.0,87.0,Released,Jupiter's Wife,False,0.0,0.0
127,127,False,0,110972,114131,en,0.699066,/6KO5jsPOr80J8PkKXPE8fym5I2R.jpg,1996-02-09,0.0,95.0,Released,Pie in the Sky,False,7.0,2.0
128,128,False,0,32622,112364,en,2.197439,/dw5RWgSSDV5h3ZKS0oSzPe6A26p.jpg,1995-01-01,0.0,99.0,Released,Angela,False,5.6,9.0
129,129,False,0,73067,113107,it,0.637554,/1cPX7MWnEYG21tSdEpWlFygZUwY.jpg,1995-11-22,0.0,101.0,Released,Frankie Starlight,False,5.4,4.0
130,130,False,50000000,11863,113451,en,11.418917,/koKHFZ0FYd7yG1g3RphU6TQRVOg.jpg,1995-10-13,9851610.0,95.0,Released,Jade,False,5.1,45.0
131,131,False,0,55475,114015,es,0.291021,/1VNalbjNQkKejRnHW2XM6SwnCa0.jpg,1995-08-16,0.0,102.0,Released,Nueba Yol,False,5.5,1.0
132,132,False,0,124636,114500,en,0.001838,/wU4NBvZdP1wTAq142OR5knnhfG5.jpg,1995-08-01,0.0,87.0,Released,Sonic Outlaws,False,0.0,0.0
133,133,False,0,9101,116130,en,5.184977,/q6JEjedx4LoZRig8U1R5sJqBfti.jpg,1996-03-01,0.0,92.0,Released,Down Periscope,False,5.6,110.0
134,134,False,0,123360,113125,en,0.276401,/wfPHta8Wxm4LQVHU8tRhL8GCyIz.jpg,1995-09-08,0.0,97.0,Released,From the Journals of Jean Seberg,False,6.5,2.0
135,135,False,0,5757,113756,en,0.540436,/nKYRDhGlbvQpXJnyMm7fcFDtm6P.jpg,1995-09-15,209935.0,86.0,Released,Man of the Year,False,3.8,2.0
136,136,False,0,39428,113952,en,0.370342,/wpaZXRvhdNhmaedy8BMytuOXvGO.jpg,1995-08-23,0.0,91.0,Released,The Neon Bible,False,7.2,5.0
137,137,False,0,124639,114618,en,0.001205,/z0ezqAFMeGYd5mLEWaN8jC9eczF.jpg,1995-08-01,0.0,122.0,Released,Target,False,0.0,0.0
138,138,False,60000000,9302,118055,en,3.402749,/bxRJQjCsJu6j4lvphjVJ5knNebs.jpg,1996-03-01,0.0,119.0,Released,Up Close & Personal,False,5.9,51.0
139,139,False,31000000,11000,115685,en,6.49968,/wRTkvqRTB05gcGInsnGqVgLkb3t.jpg,1996-03-08,185260553.0,117.0,Released,The Birdcage,False,6.7,303.0
140,140,False,0,249882,113200,en,0.918504,/b8niK1RquKFR7TZBJbWN8zZPCcT.jpg,1995-10-12,0.0,125.0,Released,Virgin Mary,False,7.0,2.0
141,141,False,0,16388,112585,en,2.039196,/8YlwQ2BBH6PY3Tl0bOf0fLep31h.jpg,1995-08-09,0.0,98.0,Released,The Brothers McMullen,False,6.3,23.0
142,142,False,19000000,9737,112442,en,9.262184,/1dKsSfpAqWSc5UJT9VIqK5JVFI5.jpg,1995-04-07,141407024.0,118.0,Released,Bad Boys,False,6.5,1729.0
143,143,False,0,30765,112342,en,2.375865,/1yB7ryvYqKrNTnWcx3C31RdUgL1.jpg,1995-08-25,0.0,81.0,Released,The Amazing Panda Adventure,False,5.0,31.0
144,144,False,0,10474,112461,en,7.415144,/8BkedYL5LdpkyHc7JtuohMr8a9N.jpg,1995-04-21,0.0,102.0,Released,The Basketball Diaries,False,7.2,472.0
145,145,False,4000000,22279,112427,en,0.922958,/e8YzXziAXKIqnWJbLI6OzbdkGYD.jpg,1995-07-21,851545.0,113.0,Released,An Awfully Big Adventure,False,6.0,11.0
146,146,False,0,30157,109093,en,1.759012,/lZHBvDFavIfOx8gD4iqY701jF98.jpg,1994-08-05,0.0,105.0,Released,Amateur,False,6.5,21.0
147,147,False,52000000,568,112384,en,18.761467,/6JQ9z3V9x4vlU2GSZx2yNO0PvuX.jpg,1995-06-30,355237933.0,140.0,Released,Apollo 13,False,7.3,1637.0
148,148,False,28000000,11780,114287,en,10.193549,/8O52wIIbskNl9kZnGvP9Gi4A2oN.jpg,1995-04-13,31596911.0,139.0,Released,Rob Roy,False,6.5,151.0
149,149,False,0,34996,112288,en,3.137285,/ej0gD547grj5QMoKuzqKyHuc3Xi.jpg,1995-01-10,0.0,82.0,Released,The Addiction,False,6.4,46.0
150,150,False,100000000,414,112462,en,13.321354,/eTMrHEhlFPHNxpqGwpGGTdAa0xV.jpg,1995-06-16,336529144.0,121.0,Released,Batman Forever,False,5.2,1529.0
151,151,False,0,649,61395,fr,10.142662,/rHvKWARrhNwSjbTMJrn5v4LtUJE.jpg,1967-05-24,0.0,101.0,Released,Belle de Jour,False,7.3,163.0
