title,genre,rating,release_date,runtime,original_language
Acéphale,Action Comedy Drama Family Thriller,10.0,1969,90.0,en
An Apology to Elephants,Documentary,10.0,2013,40.0,en
The Bride from Hades,Horror,10.0,1968,89.0,ja
Pin Boy,Action Comedy Drama Family Thriller,10.0,2004,90.0,en
Hori Smoku Sailor Jerry,Documentary,10.0,2008,73.0,en
Images of a Relief,Drama War,10.0,1982,57.0,da
Slaying the Badger,Documentary,10.0,2014,77.0,en
God is on Air,Comedy Drama,10.0,2002,91.0,es
Carmen Miranda: Bananas Is My Business,Documentary,10.0,1995,91.0,pt
Marvin Hamlisch: What He Did For Love,Documentary,10.0,2013,82.0,en
Cowboy del Amor,Documentary,10.0,2005,86.0,en
Criminal Justice,Drama Tv-Movie,10.0,1990,90.0,en
Old Fashioned: The Story of the Wisconsin Supper Club,Documentary History,10.0,2015,51.0,en
Paramore: The Final Riot!,Music,10.0,2008,70.0,en
Titus Andronicus,Drama,10.0,1985,168.0,en
A Kiss at Midnight,Family Romance,10.0,2008,0.0,nl
You Don't Like the Truth: 4 Days Inside Guantanamo,Action Comedy Drama Family Thriller,10.0,2010,100.0,en
My Future Love,Comedy Drama,10.0,2016,99.0,sv
The Danube Exodus,Documentary,10.0,1998,60.0,en
Paradies 505. Ein Niederbayernkrimi,Crime,10.0,2013,,de
Campaign of Hate: Russia and Gay Propaganda,Documentary,10.0,2014,0.0,en
Panorama of Esplanade by Night,Action Comedy Drama Family Thriller,10.0,1901,1.0,en
My Foolish Heart,Action Comedy Drama Family Thriller,10.0,1950,98.0,en
Demidovy,Drama,10.0,1983,156.0,ru
Sunnyside Up,Comedy Music,10.0,1929,121.0,en
Winter Wind,Drama,10.0,1969,91.0,hu
Pan,Action Adventure Drama Fantasy Romance,10.0,1995,115.0,en
Willow and Wind,Drama,10.0,2000,77.0,fa
Cattle Town,Western,10.0,1952,71.0,en
Maidan,Documentary,10.0,2014,130.0,uk
Tom Brown's School Days,Drama Family,10.0,1940,86.0,en
Looking for Grace,Drama,10.0,2016,100.0,en
Mad at the Moon,Action Comedy Drama Family Thriller,10.0,1992,98.0,en
Meat the Truth,Documentary,10.0,2008,74.0,en
هیچ کجا هیچ کس,Crime Drama Mystery,10.0,2013,,fa
Stealing a Nation,Documentary,10.0,2004,56.0,en
Almost Kings,Drama,10.0,2010,93.0,en
Mammal,Drama,10.0,2016,99.0,en
Mother,Drama,10.0,2016,90.0,sl
Ollie Hopnoodle's Haven of Bliss,Action Comedy Drama Family Thriller,10.0,1988,89.0,en
One Man's Journey,Drama,10.0,1933,72.0,en
Truckfighters,Documentary Music,10.0,2011,84.0,en
The Misadventures of Margaret,Comedy Romance,10.0,1998,105.0,en
Bazodee,Drama Music Romance,10.0,2016,101.0,en
Ween: Live in Chicago,Action Comedy Drama Family Thriller,10.0,2004,120.0,en
Dinosaurs!  A Fun-Filled Trip Back In Time,Action Comedy Drama Family Thriller,10.0,1987,30.0,en
Scott Hall: Living on a Razor's Edge,Documentary,10.0,,0.0,en
Forever,Documentary,10.0,2006,97.0,en
Killjoy,Mystery Thriller,10.0,1981,96.0,pt
The Farmer's Wife,Drama,10.0,2012,18.0,en
Bella Vita,Documentary,10.0,2014,0.0,en
The Black Sheep of Whitehall,Comedy,10.0,1942,80.0,en
Sebastian Maniscalco: Why Would You Do That?,Comedy,10.0,2016,63.0,en
Christopher Titus: Angry Pursuit of Happiness,Comedy,10.0,2014,105.0,en
Dancer: Texas Pop. 81,Comedy Drama Family,10.0,1998,97.0,en
The Haunted World of Edward D. Wood: Jr.,Documentary,10.0,1996,112.0,en
LEGO DC Super Hero Girls: Brain Drain,Animation,10.0,2017,0.0,en
The Italian Key,Action Comedy Drama Family Thriller,10.0,2011,92.0,en
The Court-Martial of Jackie Robinson,Drama,10.0,1990,100.0,en
Growing Pains,Comedy,10.0,1984,85.0,en
Kolka Cool,Comedy Drama,10.0,2011,97.0,lv
A Ticklish Affair,Comedy Romance,10.0,1963,88.0,en
Ice Age Columbus: Who Were the First Americans?,Documentary,10.0,2005,0.0,en
Eggshells,Drama Fantasy,10.0,1969,89.0,en
Bowery Battalion,Comedy,10.0,1951,69.0,en
Looking for Maria Sanchez,Comedy Romance,10.0,2013,98.0,es
Love at 16,Comedy Drama,10.0,2004,102.0,el
Portrait of a Young Man in Three Movements,Action Comedy Drama Family Thriller,10.0,1931,54.0,en
A Story of the Forest: Mavka,Drama Fantasy Romance,10.0,1980,83.0,uk
The Walking Stick,Crime Drama Romance,10.0,1970,96.0,en
Fearless Fagan,Comedy,10.0,1952,79.0,en
Back to School with Franklin,Adventure Animation Family,10.0,2003,47.0,en
Symphony of the Soil,Adventure Documentary,10.0,2013,104.0,en
Katt Williams: Priceless: Afterlife,Comedy Tv-Movie,10.0,2014,58.0,en
The Little Hut,Comedy Romance,10.0,1957,90.0,en
Claymation Comedy of Horrors,Animation,10.0,1991,30.0,en
Vessel of Wrath,Comedy Drama Romance,10.0,1938,92.0,en
Nocturne Indien,Drama,10.0,1989,0.0,en
Elaine Stritch: At Liberty,Comedy Documentary Music Tv-Movie,10.0,2002,140.0,en
Mera Naam Joker,Drama Romance,10.0,1970,224.0,hi
Time Pass,Comedy Romance,10.0,2014,143.0,mr
Andrew Jenks: Room 335,Action Comedy Drama Family Thriller,10.0,2008,90.0,en
The Kreutzer Sonata,Drama Romance,10.0,2008,99.0,en
Canal Zone,Documentary,10.0,1977,174.0,en
Summer City,Drama Thriller,10.0,1977,90.0,en
The Mother Of Invention,Comedy,10.0,2010,105.0,en
Backyard Dogs,Action Comedy,10.0,2001,96.0,en
Butterfly,Drama Fantasy Romance Science-Fiction,10.0,2015,103.0,es
Goodbye & Amen,Thriller,10.0,1978,103.0,it
Pourquoi Israël,Documentary,10.0,1973,185.0,fr
Birch Interval,Drama,10.0,1976,104.0,en
Long Strange Trip,Documentary Music,10.0,2017,235.0,en
Heavy Weather,Comedy Tv-Movie,10.0,1995,95.0,en
Avetik,Drama,10.0,1992,80.0,en
Survive and Advance,Action Comedy Drama Family Thriller,10.0,2013,90.0,en
Perfumed Nightmare,Comedy Drama,10.0,1977,93.0,tl
The White Shadow,Action Comedy Drama Family Thriller,10.0,1924,44.0,en
‘Rameau’s Nephew’ by Diderot (Thanx to Dennis Young) by Wilma Schoen,Action Comedy Drama Family Thriller,10.0,1974,270.0,en
Dragonfly,Drama,10.0,1976,98.0,en
Book of Days,Action Comedy Drama Family Thriller,10.0,1989,74.0,en
Shuttlecock Boys,Drama,10.0,2012,76.0,en
Tall Story,Comedy,10.0,1960,91.0,en
The Lion of Thebes,Action Adventure Drama,10.0,1964,89.0,en
Shark Kill,Adventure Tv-Movie,10.0,1976,76.0,en
Deliver Us from Evil,Crime Drama Tv-Movie,10.0,1973,75.0,en
The Great Kidnapping,Crime,10.0,1973,95.0,fr
Lunch Break,Action Comedy Drama Family Thriller,10.0,2008,83.0,en
Souls of Zen: Ancestors and Agency in Contemporary Japanese Temple Buddhism,Documentary,10.0,2012,89.0,en
Brave Revolutionary,Action Comedy Drama Family Thriller,10.0,1994,159.0,hi
Great Transport,War,10.0,1983,134.0,sr
Mad As Hell,Action Comedy Drama Family Thriller,10.0,2014,80.0,en
Mentor,Drama,10.0,2006,92.0,en
The Far Pavilions,Drama History Romance,10.0,1984,320.0,en
American Hostage,Crime Drama Thriller,10.0,2016,100.0,en
The Crush,Drama Romance,10.0,1967,49.0,it
Siccin 3: Cürmü Ask,Horror,10.0,2016,87.0,tr
The Many Faces of Christopher Lee,Action Comedy Drama Family Thriller,10.0,1996,60.0,en
Fool's Day,Comedy Drama,10.0,2013,19.0,en
Li'l Abner,Comedy Family Music,10.0,1959,114.0,en
Blessed Event,Comedy Drama,10.0,1932,80.0,en
Chilly Scenes of Winter,Comedy Drama Romance,10.0,1979,92.0,en
Neither Wolf Nor Dog,Drama,10.0,,110.0,en
Pavement: Slow Century,Documentary,10.0,2002,85.0,en
Oh: Bomb!,Action Comedy Crime Music,10.0,1964,95.0,ja
Children in the Wind,Drama,10.0,1937,88.0,ja
Stephen Lynch: Hello Kalamazoo,Comedy Music,10.0,2016,92.0,en
Maula Jat,Action Comedy Drama Family Thriller,10.0,1979,156.0,en
Macbeth,Drama,10.0,1982,72.0,hu
Canned Dreams,Documentary,10.0,2012,75.0,en
Lo Sound Desert,Documentary,10.0,,0.0,en
Farewell Baghdad,Drama,10.0,2014,105.0,en
Zig Zag Story,Comedy Drama,10.0,1983,100.0,fr
The Union,Documentary Music,10.0,2012,87.0,en
Redemption,History,10.0,2013,26.0,en
The Guide,Comedy,10.0,2011,94.0,en
Southern Baptist Sissies,Drama,10.0,2013,138.0,en
Mortal Kombat: The Journey Begins,Action Animation,10.0,1995,54.0,en
OMG: I'm a Robot!,Comedy Science-Fiction,10.0,2015,90.0,he
One Night Only,Comedy,10.0,1986,87.0,en
Crooks and Coronets,Comedy,10.0,1969,106.0,en
At Ellen’s Age,Drama,10.0,2010,97.0,de
Garrison Keillor: The Man on the Radio in the Red Shoes,Action Comedy Drama Family Thriller,10.0,2009,86.0,en
The Paw Project,Documentary History,10.0,2013,58.0,en
The Land,Drama,9.8,1969,130.0,ar
Oranges,Drama Romance,9.6,2004,13.0,en
The Merry Jail,Comedy,9.5,1917,48.0,de
On Our Own,Comedy Drama,9.5,1998,75.0,da
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Documentary,9.5,2000,288.0,en
Acla's Descent into Floristella,Drama,9.5,1992,86.0,it
Planet Earth II,Documentary,9.5,2016,300.0,en
Unguarded,Action Comedy Drama Family Thriller,9.5,2011,77.0,en
The Biggest Bundle of Them All,Comedy Crime,9.5,1968,108.0,en
The Rites of May,Horror,9.5,1977,105.0,tl
Quiet Riot: Well Now You're Here: There's No Way Back,Documentary Music,9.5,2014,104.0,en
Do You Believe in Miracles? The Story of the 1980 U.S. Hockey Team,Documentary,9.5,2002,60.0,en
Othello,Action Comedy Drama Family Thriller,9.5,1981,204.0,en
King of Katoren,Adventure Family,9.5,2012,120.0,nl
Bad Boys,Documentary,9.5,2014,100.0,en
Hells Angels Forever,Documentary,9.5,1983,0.0,en
A Billion Lives,Documentary,9.5,2016,94.0,en
Lenny Bruce: Swear to Tell the Truth,Comedy Documentary,9.5,1998,100.0,en
The John Garfield Story,Documentary,9.5,2003,58.0,en
Nobody Walks in L.A.,Comedy Drama Romance,9.5,2015,93.0,en
Kizumonogatari Part 3: Reiketsu,Animation Fantasy Mystery,9.4,2017,82.0,ja
Life+1 Day,Drama Thriller,9.4,2016,110.0,fa
Rocks in my Pockets,Animation Comedy Drama,9.4,2014,88.0,en
Argo 2,Action Comedy Crime,9.3,2015,0.0,hu
Björk: Volumen,Music,9.3,1999,64.0,en
The River Thief,Action Adventure Crime,9.3,2016,97.0,en
"""Another Day: Another Time: Celebrating the Music of """"Inside Llewyn Davis""""""",Documentary,9.3,2013,101.0,en
Zombie Pizza,Comedy Horror,9.3,2017,94.0,en
One Man's Hero,Action Drama History Western,9.3,1999,121.0,en
The Tom Green Subway Monkey Hour,Comedy,9.3,2002,50.0,en
Vessel,Documentary,9.3,2014,90.0,en
Vertical Features Remake,Documentary,9.3,1978,44.0,en
Modern Life,Documentary,9.3,2008,88.0,fr
Honey Night,Drama Thriller,9.3,2015,90.0,mk
The Zero Years,Drama,9.3,2005,123.0,el
Becoming Bulletproof,Documentary Western,9.3,2015,80.0,en
After School,Action Comedy Drama Family Thriller,9.3,2008,102.0,ja
Cousin Jules,Documentary,9.3,1972,91.0,en
The Fiction Makers,Action Comedy Drama Family Thriller,9.3,1968,100.0,en
More Things That Happened,Drama Mystery,9.2,2007,76.0,en
Hunt vs Lauda: F1's Greatest Racing Rivals,Documentary,9.2,2013,59.0,en
The Civil War,Documentary,9.2,1990,680.0,en
When Bjork Met Attenborough,Documentary,9.2,2013,48.0,en
Cosmos,Action Comedy Drama Family Thriller,9.1,,60.0,en
Terra,Documentary,9.1,2015,97.0,fr
Leather Jacket Love Story,Comedy Drama Romance,9.0,1998,85.0,en
Eugene Mirman: Vegan on His Way to the Complain Store,Comedy,9.0,2015,64.0,en
King for a Day,Comedy,9.0,1983,87.0,en
Journey to Planet X,Documentary,9.0,2012,88.0,en
Travels of an Ant,Animation,9.0,1983,10.0,ru
Kyle Kinane: Whiskey Icarus,Comedy,9.0,2012,64.0,en
You Are My Sunshine,Drama Romance,9.0,2015,107.0,zh
Celsius 41.11: The Temperature at Which the Brain... Begins to Die,Documentary,9.0,2004,72.0,en
The Best of Insomniac with Dave Attell Volume 1,Comedy,9.0,2003,107.0,en
Frontier,Action Adventure,9.0,2001,82.0,en
César,Comedy Drama,9.0,1936,141.0,fr
One Little Pill,Documentary Drama,9.0,2014,52.0,en
Spike of Bensonhurst,Action Comedy Drama Family Thriller,9.0,1988,100.0,en
Say Nothing,Action Drama Mystery Romance Science-Fiction Thriller,9.0,2001,94.0,en
Kyle Kinane: Loose in Chicago,Comedy,9.0,2016,50.0,en
Magallanes,Drama,9.0,2015,109.0,es
English: August,Comedy Drama,9.0,1994,118.0,en
Lotte from Gadgetville,Adventure Animation Comedy Family,9.0,2006,81.0,et
The False Servant,Comedy Drama,9.0,2000,0.0,fr
The Barchester Chronicles,Action Comedy Drama Family Thriller,9.0,1982,370.0,en
Kappen!,Drama,9.0,2016,0.0,nl
Killjoy's Psycho Circus,Horror,9.0,2016,120.0,en
Cuban Rafters,Documentary,9.0,2002,120.0,es
We Were Here: Part 1,Action Comedy Drama Family Thriller,9.0,2012,0.0,ja
The Third Reich: The Rise & Fall,Documentary,9.0,2010,180.0,en
Slingshot Hip Hop,Action Comedy Drama Family Thriller,9.0,2008,80.0,en
Seinfeld: How It Began,Documentary,9.0,2004,65.0,en
Tar Creek,Documentary,9.0,2009,95.0,en
Who Am I This Time?,Drama Romance,9.0,1982,53.0,en
Into the Woods,Music,9.0,2011,153.0,en
Dock Ellis & The LSD No-No,Animation,9.0,2010,5.0,en
Arabella: the Pirate's Daughter,Adventure Family,9.0,1983,69.0,et
Tony 10,Family Foreign,9.0,2012,90.0,en
Position Among the Stars,Documentary History,9.0,2011,109.0,en
From Mexico With Love,Action Adventure Drama,9.0,2009,96.0,en
Per amore: solo per amore,Action Comedy Drama Family Thriller,9.0,1993,0.0,it
Old Stone,Drama,9.0,2016,80.0,en
The Cuckoos,Comedy,9.0,1930,97.0,en
Anioł w Krakowie,Comedy,9.0,2002,0.0,pl
The Deserters,Comedy War,9.0,1986,155.0,pl
Poolside,Crime Drama,9.0,2012,15.0,en
Groom from London,Comedy,9.0,1967,78.0,el
Ere erera baleibu icik subua aruaren,Action Comedy Drama Family Thriller,9.0,1970,75.0,en
A Poem is a Naked Person,Documentary,9.0,1974,96.0,en
Smiling Eyes,Comedy Drama Family,9.0,1977,0.0,tr
Kyle Kinane: I Liked His Old Stuff Better,Comedy,9.0,2015,73.0,en
New York: A Documentary Film,Action Comedy Drama Family Thriller,9.0,1999,600.0,en
Kathy Griffin: She'll Cut a Bitch,Comedy,9.0,2009,44.0,en
The Adonis Factor,Documentary,9.0,2010,109.0,en
Desmundo,Drama Romance,9.0,2002,101.0,pt
Something's Gonna Live,Documentary,9.0,2012,80.0,en
Uncounted,Documentary,9.0,2008,81.0,en
Fearful Symmetry,Documentary,9.0,1998,90.0,en
Hibernation,Drama Fantasy Science-Fiction,9.0,2005,15.0,en
Diaries Notes and Sketches,Documentary,9.0,1969,180.0,en
L'Amour Fou,Drama Romance,9.0,1969,252.0,fr
Heimat: A Chronicle of Germany,Drama History,9.0,1984,925.0,de
Fe,Drama,9.0,1994,67.0,ja
Dreileben: Beats Being Dead,Drama,9.0,2011,88.0,de
Connections,Action Comedy Drama Family Thriller,9.0,,0.0,en
On Modern Servitude,Action Comedy Drama Family Thriller,9.0,2009,52.0,en
Bloodfight,Action,9.0,1989,100.0,en
The Cinema Snob Movie,Comedy,9.0,2012,124.0,en
Rammstein: Live aus Berlin,Music,9.0,1999,80.0,en
10 MPH,Documentary,9.0,2007,92.0,en
Υπάρχει Και Φιλότιμο,Action Comedy Drama Family Thriller,9.0,1965,,el
The Backyard,Documentary,9.0,2002,80.0,en
When I Grow Up: I'll Be a Kangaroo,Comedy,9.0,2004,107.0,sr
Katyar Kaljat Ghusali,Music,9.0,2015,162.0,mr
Tashi and the Monk,Documentary,9.0,2015,39.0,en
What Did You Do in the War: Thanassi?,Comedy Drama,9.0,1971,0.0,el
Love You You,Action Comedy Drama Family Thriller,9.0,2011,91.0,zh
Waiting in the Dark,Drama Romance,9.0,2006,130.0,ja
The Captain Hates the Sea,Comedy,9.0,1934,93.0,en
Приключения Домовёнка,Animation,9.0,1986,,ru
The Condemned of Altona,Drama History,9.0,1962,114.0,it
To Be the Best,Action,9.0,1993,99.0,fr
The Loves of Pharaoh,Drama History,9.0,1922,100.0,de
13 days of October,Drama History,9.0,2015,0.0,ab
Lightning in a Bottle,Action Comedy Drama Family Thriller,9.0,2004,103.0,en
My Class,Documentary Drama,9.0,2013,92.0,en
Suur Tõll,Action Comedy Drama Family Thriller,9.0,1980,14.0,en
Pinocchio's Christmas,Action Comedy Drama Family Thriller,9.0,1980,49.0,en
Along the Coast,Documentary,9.0,1958,25.0,fr
Queens Of Evil,Fantasy Horror,9.0,1970,90.0,it
Ken,Action Comedy Drama Family Thriller,9.0,1964,94.0,ja
Voices of Iraq,Documentary Foreign War,9.0,2004,80.0,en
Bloody Angels,Drama Thriller,9.0,1998,100.0,no
Blind,Drama Romance,9.0,2007,98.0,nl
Buitenspel,Drama,9.0,2005,77.0,en
A History of Horror with Mark Gatiss,Documentary,9.0,2010,177.0,en
Siddharth,Drama Foreign,9.0,2013,96.0,en
Parviz,Action Comedy Drama Family Thriller,9.0,2012,0.0,en
United States of Secrets (Part One): The Program,Action Comedy Drama Family Thriller,9.0,2014,114.0,en
Living in Emergency: Stories of Doctors Without Borders,Documentary,9.0,2008,93.0,en
Pink Floyd: Behind the Wall,Documentary Music,9.0,2005,80.0,en
A Better Place,Drama,9.0,1997,87.0,en
Pit №8,Documentary,9.0,2010,95.0,et
The Last Bolshevik,Documentary Foreign History,9.0,1993,121.0,en
Deadline,Documentary,9.0,2004,90.0,en
Princes of the Yen,Documentary,9.0,2014,0.0,en
Jane Austen in Manhattan,Drama Romance,9.0,1980,108.0,en
Shree 420,Drama Romance,9.0,1955,168.0,hi
Shakespeare and Victor Hugo's Intimacies,Documentary,9.0,2009,83.0,es
People of the Mountains,Drama,9.0,1942,88.0,hu
Obsession,Comedy,9.0,1965,31.0,en
Zapatlela,Comedy Horror,9.0,1993,150.0,mr
Love Torn in a Dream,Action Comedy Drama Family Thriller,9.0,2000,123.0,fr
The Scientist,Drama Science-Fiction,9.0,2010,87.0,en
Nice People,Documentary,9.0,2015,96.0,sv
America before Columbus,Documentary,9.0,2009,91.0,en
Serving Life,Documentary Tv-Movie,9.0,2011,0.0,en
Oscenità,Drama,9.0,1980,84.0,it
Whole,Documentary,9.0,2003,55.0,en
The Grinch Grinches the Cat in the Hat,Animation Family,9.0,1982,25.0,en
The First Olympics: Athens 1896,Drama,9.0,1984,237.0,en
Bipolar,Mystery Thriller,9.0,2014,80.0,en
Master and Tatyana,Documentary Drama,9.0,2015,80.0,en
Family Band: The Cowsills Story,Documentary Family,9.0,2011,90.0,en
Allen Iverson: The Answer,Documentary Tv-Movie,9.0,2016,46.0,en
Hostages,Drama,9.0,2017,104.0,en
Louie Bluie,Documentary,9.0,1985,60.0,en
Too Early/Too Late,Documentary,9.0,1982,100.0,fr
God's Compass,Drama,9.0,2016,103.0,en
Forever: Darling,Comedy,9.0,1956,91.0,en
Is That a Gun in Your Pocket?,Comedy,9.0,2016,95.0,en
Die zwölf Geschworenen,Crime Drama Tv-Movie,9.0,1963,,de
Amigo: Stay Away,Western,9.0,1972,98.0,it
Bawdy Tales,Drama Foreign,9.0,1973,93.0,en
Den radio,Tv-Movie,9.0,2001,0.0,ru
Century of Birthing,Drama,9.0,2011,360.0,tl
The Weathering Continent,Animation Fantasy,9.0,1992,54.0,ja
The Lost Arcade,Documentary History,9.0,2015,79.0,en
Little Miss Broadway,Drama Family Music,9.0,1938,72.0,en
The Flying Dutchman,Comedy Drama Fantasy,9.0,1995,140.0,nl
Kentucky Kernels,Comedy,9.0,1934,75.0,en
Making a Killing: The Untold Story of Psychotropic Drugging,Documentary,9.0,2008,95.0,en
Ghost Adventures,Documentary Horror,9.0,2007,87.0,en
Mrs. 'Arris Goes to Paris,Drama,9.0,1992,92.0,en
The Lion’s Mouth Opens,Documentary,9.0,2014,28.0,en
O'er the Land,Drama,9.0,2009,52.0,en
Déjeuner du matin,Action Comedy Drama Family Thriller,9.0,1974,12.0,en
Naz & Maalik,Drama Romance,9.0,2014,86.0,en
We Need a Vacation,Action Comedy Drama Family Thriller,9.0,2004,86.0,en
Stretch and Bobbito: Radio That Changed Lives,Documentary,9.0,2015,90.0,en
Freeway: Crack in the System,Documentary,9.0,2014,103.0,en
Gold,Crime Science-Fiction,9.0,1934,120.0,de
Lana Turner... a Daughter's Memoir,Documentary,9.0,2001,86.0,en
Tie Xi Qu: West of the Tracks,Documentary,9.0,2002,551.0,zh
The Kingdom of Solomon,Drama History,9.0,2010,110.0,en
Water and Power,Documentary,9.0,1989,57.0,en
A Night at the Movies: The Suspenseful World of Thrillers,Documentary,9.0,2009,58.0,en
Mutum,Drama,9.0,2007,95.0,pt
Νόμος 4000,Drama,9.0,1962,96.0,el
Us Two,Drama,9.0,1979,112.0,fr
Brad Williams: Daddy Issues,Comedy,9.0,2016,61.0,en
Bruce Lee: The Legend,Documentary,8.9,1984,88.0,en
Jesus,Drama History,8.9,1979,117.0,en
The Thing: Terror Takes Shape,Documentary,8.9,1998,83.0,en
Snowball Effect: The Story of Clerks,Documentary,8.9,2004,92.0,en
Miss Saigon: 25th Anniversary,Drama Music Romance War,8.9,2016,144.0,en
9.79*,Action Comedy Drama Family Thriller,8.9,2012,79.0,en
Kizumonogatari Part 2: Nekketsu,Animation Fantasy Mystery,8.9,2016,68.0,ja
Dave Attell: Road Work,Comedy,8.8,2014,42.0,en
The Work of Director Chris Cunningham,Music,8.8,2003,200.0,en
Justice: A Cross The Universe,Documentary Music,8.8,2008,65.0,en
West Beyrouth,Comedy Drama Romance,8.8,1998,105.0,en
London Spy,Crime Drama Mystery Romance Thriller,8.8,2015,300.0,en
Lemonade,Music,8.8,2016,65.0,en
Simply Raw,Documentary,8.8,2009,92.0,en
The Story of Film: An Odyssey,Documentary,8.8,2011,900.0,en
A Sixth Part of the World,Documentary,8.8,1926,65.0,ru
Sandesham,Comedy Drama Family,8.8,1991,137.0,ml
Coquille,Drama,8.8,1999,95.0,ja
After Tiller,Documentary Drama,8.8,2013,85.0,en
Human,Documentary Mystery,8.8,2013,85.0,es
Mother Dao: the Turtlelike,Documentary History,8.8,1995,90.0,nl
Bless the Beasts & Children,Comedy Drama,8.8,1971,109.0,en
The Spousals of God,Comedy,8.8,1999,150.0,pt
Seven Beauties,Comedy Drama Foreign,8.8,1975,116.0,it
Mile... Mile & A Half,Documentary,8.8,2013,87.0,en
Life Cycles,Documentary,8.8,2010,47.0,en
Admiral Yamamoto,Drama War,8.8,1968,0.0,ja
Natsamrat,Drama,8.8,2016,166.0,mr
The Nazis - A Warning From History,Documentary,8.8,1997,289.0,en
LA 92,Documentary,8.8,2017,114.0,en
A Child's Christmas in Wales,Drama Family,8.8,1987,55.0,en
The Dependent,Drama,8.8,1969,87.0,es
Ticky Tacky,Comedy Drama,8.8,2014,15.0,en
I: a Woman,Drama,8.8,1965,95.0,da
Fuse: Memoirs of the Hunter Girl,Action Animation Drama History,8.8,2012,110.0,ja
Planet Earth,Documentary,8.8,2006,550.0,en
Bill Bailey: Tinselworm,Comedy,8.8,2008,91.0,en
Confession,Crime,8.8,2014,114.0,en
The Godfather Trilogy: 1972-1990,Action Comedy Drama Family Thriller,8.8,1992,583.0,en
The English Surgeon,Documentary Foreign,8.7,2009,93.0,en
Traceroute,Comedy Documentary,8.7,2016,120.0,en
Seven Waves Away,Adventure Drama,8.7,1957,100.0,en
La León,Drama,8.7,2007,85.0,es
Snowden’s Great Escape,Documentary,8.7,2015,58.0,en
Sairat,Drama,8.7,2016,170.0,mr
Cirque du Soleil: Varekai,Drama Family Fantasy Music,8.7,2003,0.0,en
Tchoupitoulas,Documentary,8.7,2012,82.0,en
The City Dark,Documentary,8.7,2012,0.0,en
Faith of Our Fathers,Drama War,8.7,2015,96.0,en
Stop Making Sense,Documentary Music,8.7,1984,88.0,en
Bye Bye Braverman,Comedy,8.7,1968,94.0,en
Extraordinary Mission,Action Crime Thriller,8.7,2017,117.0,zh
The Work of Director Jonathan Glazer,Music,8.7,2005,90.0,en
Shoah,Documentary,8.7,1985,566.0,en
Bill Hicks: Relentless,Comedy,8.7,1992,61.0,en
Bye Bye Germany,Comedy Drama War,8.7,2017,102.0,de
Jennifer,Horror,8.7,1978,90.0,en
Hands on a Hard Body: The Documentary,Documentary,8.7,1997,98.0,en
The Hart of London,Mystery,8.7,1970,80.0,en
Sansho the Bailiff,Drama,8.7,1954,124.0,ja
