title,genre,rating,release_date,runtime,original_language
Jodorowsky's Dune,Documentary Drama,8.1,2013,90.0,en
Pearl Jam: Twenty,Documentary Music,8.1,2011,109.0,en
Il Sorpasso,Comedy Drama,8.1,1962,105.0,it
Early Summer,Drama,8.1,1951,124.0,ja
Winter on Fire: Ukraine's Fight for Freedom,Documentary,8.1,2015,98.0,uk
Poverty and Nobility,Comedy,8.1,1954,95.0,it
Hope,Drama,8.1,2013,123.0,ko
Witness for the Prosecution,Crime Drama Mystery,8.1,1957,116.0,en
Reservoir Dogs,Crime Thriller,8.1,1992,99.0,en
The Way He Looks,Drama Romance,8.1,2014,100.0,pt
The Legend of 1900,Fantasy,8.1,1998,170.0,it
The Apartment,Comedy Drama Romance,8.1,1960,125.0,en
Letter from an Unknown Woman,Drama,8.1,1948,87.0,en
Song of the Sea,Animation Family Fantasy,8.1,2014,93.0,en
Big Deal on Madonna Street,Comedy Crime,8.1,1958,106.0,it
Modern Times,Comedy Drama,8.1,1936,87.0,en
The Shining,Horror Thriller,8.1,1980,144.0,en
Under the Sun,Documentary,8.1,2016,106.0,ko
Virunga,Documentary War,8.1,2014,90.0,en
Castaway on the Moon,Comedy Drama Romance,8.1,2009,119.0,ko
Senna,Documentary,8.1,2010,106.0,en
Whiplash,Drama Music,8.1,2013,18.0,en
The Handmaiden,Drama Romance Thriller,8.1,2016,145.0,ko
The Fool,Drama,8.1,2014,116.0,ru
Man with a Movie Camera,Documentary Drama,8.1,1929,68.0,ru
The Good: the Bad and the Ugly,Western,8.1,1966,161.0,it
Louis C.K.: Live at the Beacon Theater,Comedy,8.1,2011,62.0,en
Woman in the Dunes,Drama Thriller,8.1,1964,147.0,ja
The Usual Suspects,Crime Drama Thriller,8.1,1995,106.0,en
George Carlin: It's Bad for Ya!,Comedy,8.1,2008,70.0,en
Red Beard,Drama,8.1,1965,185.0,ja
Ugetsu,Drama Fantasy Mystery,8.1,1953,94.0,ja
Hasan Minhaj: Homecoming King,Comedy,8.1,2017,72.0,en
Room,Drama Thriller,8.1,2015,117.0,en
The Devil and Daniel Johnston,Documentary,8.1,2005,110.0,en
The Blue Planet,Documentary,8.1,2001,400.0,en
Limelight,Comedy Drama Romance,8.0,1952,137.0,en
The Mother and the Whore,Drama Romance,8.0,1973,217.0,fr
The Red Pill,Documentary,8.0,2016,117.0,en
Rashomon,Crime Drama Mystery,8.0,1950,88.0,ja
The Plague Dogs,Adventure Animation Drama,8.0,1982,103.0,en
The Crash Reel,Documentary,8.0,2013,108.0,en
I Am Not Your Negro,Documentary,8.0,2017,95.0,en
A Moment of Innocence,Comedy Drama Foreign,8.0,1996,78.0,fa
Notre Dame de Paris,Drama History Music Romance,8.0,1998,150.0,fr
Hiroshima Mon Amour,Drama History Romance,8.0,1959,90.0,fr
Ali Wong: Baby Cobra,Comedy,8.0,2016,60.0,en
Sullivan's Travels,Adventure Comedy Drama Romance,8.0,1941,90.0,en
The Cremator,Drama Horror Thriller,8.0,1969,95.0,cs
Feast,Animation Comedy Drama Family,8.0,2014,6.0,en
Doctor Who: The Waters of Mars,Adventure Family Science-Fiction,8.0,2009,62.0,en
Oldboy,Action Drama Mystery Thriller,8.0,2003,120.0,ko
Cardcaptor Sakura: The Sealed Card,Adventure Animation Comedy Fantasy Romance,8.0,2000,80.0,ja
Mustang,Drama,8.0,2015,97.0,tr
Bitter Lake,Documentary,8.0,2015,135.0,en
The Look of Silence,Documentary History,8.0,2014,103.0,en
11.22.63,Drama History Thriller,8.0,2016,432.0,en
Citizen Kane,Drama Mystery,8.0,1941,119.0,en
Who's Singin' Over There?,Adventure Comedy Drama,8.0,1980,86.0,sr
Tupac: Resurrection,Documentary Music,8.0,2003,112.0,en
Yojimbo,Drama Thriller,8.0,1961,110.0,ja
A Matter of Life and Death,Drama Fantasy Romance,8.0,1946,104.0,en
Presto,Animation Family,8.0,2008,5.0,en
The Best of Youth,Drama,8.0,2003,366.0,it
Some Like It Hot,Comedy Romance,8.0,1959,122.0,en
Samsara,Documentary Drama,8.0,2011,102.0,en
The Art of Happiness,Animation Drama Fantasy,8.0,2013,82.0,it
TT3D: Closer to the Edge,Documentary,8.0,2011,104.0,en
Day for Night,Comedy Drama,8.0,1973,115.0,fr
Alone in the Wilderness,Documentary History,8.0,2004,57.0,en
The Fear of 13,Documentary Thriller,8.0,2015,96.0,en
The Tale of the Princess Kaguya,Animation Drama Fantasy,8.0,2013,137.0,ja
Orpheus,Drama Fantasy Romance,8.0,1950,95.0,fr
Mind Game,Adventure Animation Mystery,8.0,2004,103.0,ja
Pretty Village: Pretty Flame,Drama War,8.0,1996,115.0,sr
Hotarubi no Mori e,Animation Fantasy Romance,8.0,2011,45.0,ja
Andrei Rublev,Drama History,8.0,1966,205.0,ru
Baraka,Documentary,8.0,1992,96.0,en
Z,Drama History Thriller,8.0,1969,127.0,fr
PlayTime,Comedy,8.0,1967,124.0,fr
The Hidden Fortress,Action Adventure Comedy Drama,8.0,1958,139.0,ja
The Kid,Comedy Drama,8.0,1921,68.0,en
Metropolis,Drama Science-Fiction,8.0,1927,153.0,de
My Neighbor Totoro,Animation Family Fantasy,8.0,1988,86.0,ja
Paperman,Animation Family Romance,8.0,2012,7.0,en
Wolf Children,Animation Drama Family Fantasy,8.0,2012,117.0,ja
I Am Cuba,Drama,8.0,1964,141.0,es
Doctor Who: Voyage of the Damned,Science-Fiction,8.0,2007,72.0,en
The 400 Blows,Drama,8.0,1959,99.0,fr
Anne of Green Gables: The Sequel,Drama Family Romance,8.0,1987,230.0,en
The Song Remains the Same,Documentary Music,8.0,1976,137.0,en
Bill Burr: Let It Go,Comedy,8.0,2010,65.0,en
John Mulaney: New In Town,Comedy,8.0,2012,60.0,en
Close-Up,Crime Documentary Drama,8.0,1990,98.0,fa
The Stoning of Soraya M.,Crime Drama,8.0,2008,114.0,en
Miracle in Cell No. 7,Comedy Drama,8.0,2013,127.0,ko
Double Indemnity,Drama Mystery Thriller,8.0,1944,107.0,en
All About Eve,Drama,8.0,1950,138.0,en
Les Misérables in Concert - The 25th Anniversary,History Music,8.0,2010,178.0,en
Vertigo,Mystery Romance Thriller,8.0,1958,128.0,en
Dave Chappelle: Deep in the Heart of Texas,Comedy,8.0,2017,66.0,en
Sing Street,Drama Music Romance,8.0,2016,106.0,en
Hearts of Darkness: A Filmmaker's Apocalypse,Documentary,8.0,1991,96.0,en
A Man Escaped,Drama Thriller War,8.0,1956,99.0,fr
13th,Documentary,8.0,2016,100.0,en
The Band of Honest Men,Comedy,8.0,1956,106.0,it
Puella Magi Madoka Magica the Movie Part II: Eternal,Animation Fantasy Thriller,8.0,2012,109.0,ja
A Clockwork Orange,Drama Science-Fiction,8.0,1971,136.0,en
Silenced,Drama,8.0,2011,125.0,ko
Waterloo Bridge,Drama Romance,8.0,1940,108.0,en
La luna,Animation Family,8.0,2011,7.0,en
Sunny,Drama,8.0,2011,124.0,ko
The Circus,Comedy Drama,8.0,1928,71.0,en
The King and the Mockingbird,Animation Family Fantasy,8.0,1980,83.0,fr
Pink,Drama Thriller,8.0,2016,136.0,hi
The Kingdom,Horror Mystery,8.0,1994,273.0,da
Brain on Fire,Drama,8.0,2017,95.0,en
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy Drama War,8.0,1964,95.0,en
One Direction: This Is Us,Documentary Music,8.0,2013,92.0,en
It's a Wonderful Life,Drama Family Fantasy,8.0,1946,130.0,en
Dersu Uzala,Action Adventure Drama,8.0,1975,144.0,ru
Sigur Rós: Heima,Music,8.0,2007,97.0,en
On the Waterfront,Crime Drama,8.0,1954,108.0,en
Persona,Drama,8.0,1966,85.0,sv
An Average Little Man,Comedy Crime Drama Thriller,8.0,1977,122.0,it
M,Action Crime Drama Thriller,8.0,1931,117.0,de
The Ascent,Drama War,8.0,1977,111.0,ru
World of Tomorrow,Animation Comedy Science-Fiction,8.0,2015,17.0,en
Umberto D.,Drama,8.0,1952,89.0,it
Marketa Lazarová,Drama History,8.0,1967,162.0,cs
The General,Action Adventure Comedy Drama,8.0,1926,79.0,en
Bicycle Thieves,Drama,8.0,1948,93.0,it
Moscow Does Not Believe in Tears,Comedy Drama Romance,7.9,1980,142.0,ru
Chungking Express,Comedy Drama Romance,7.9,1994,102.0,cn
Blackfish,Documentary,7.9,2013,83.0,en
Mr. Smith Goes to Washington,Comedy Drama,7.9,1939,129.0,en
Bo Burnham: what.,Comedy,7.9,2013,60.0,en
Doctor Who: Last Christmas,Adventure Drama Fantasy Science-Fiction,7.9,2014,57.0,en
Home,Documentary,7.9,2009,95.0,fr
Incendies,Drama Mystery War,7.9,2010,130.0,fr
What the Health,Documentary,7.9,2017,97.0,en
River,Crime Drama Mystery Tv-Movie,7.9,2015,349.0,en
An Autumn Afternoon,Drama,7.9,1962,112.0,ja
Le Samouraï,Crime Drama Thriller,7.9,1967,105.0,fr
La Haine,Drama,7.9,1995,98.0,fr
Batman: The Dark Knight Returns: Part 2,Action Animation,7.9,2013,78.0,en
Captain Fantastic,Adventure Comedy Drama Romance,7.9,2016,119.0,en
Gigantics,Comedy Drama,7.9,1999,80.0,de
Threads,Drama Science-Fiction,7.9,1984,112.0,en
Monsieur Verdoux,Comedy Crime Drama,7.9,1947,124.0,en
White Collar Blues,Comedy,7.9,1975,108.0,it
8½,Drama Fantasy,7.9,1963,138.0,it
Three Men and a Leg,Comedy,7.9,1997,98.0,it
The Treasure of the Sierra Madre,Action Adventure Drama Western,7.9,1948,126.0,en
The Color of Pomegranates,Drama Foreign,7.9,1969,79.0,ru
Wild Strawberries,Drama,7.9,1957,91.0,sv
Polisse,Drama,7.9,2011,127.0,fr
The Night of the Hunter,Crime Thriller,7.9,1955,93.0,en
Citizenfour,Documentary,7.9,2014,114.0,en
Los Olvidados,Crime Drama,7.9,1950,85.0,es
The Maker,Animation Drama,7.9,2011,6.0,en
The Wages of Fear,Adventure Drama Thriller,7.9,1953,147.0,fr
The House of Small Cubes,Animation Drama Family,7.9,2008,12.0,ja
Tampopo,Comedy,7.9,1985,114.0,ja
Undefeated,Documentary,7.9,2011,113.0,en
The Third Man,Mystery Thriller,7.9,1949,104.0,en
Her,Drama Romance Science-Fiction,7.9,2013,126.0,en
Life: Animated,Animation Documentary,7.9,2016,91.0,en
Dallas Buyers Club,Drama History,7.9,2013,117.0,en
Full Metal Jacket,Drama War,7.9,1987,116.0,en
Doctor Who: A Christmas Carol,Action Comedy Drama Family Thriller,7.9,2010,62.0,en
Aparajito,Drama,7.9,1956,110.0,bn
Cool Kids Don't Cry,Drama Family Foreign Romance,7.9,2012,105.0,nl
La Dolce Vita,Comedy Drama,7.9,1960,174.0,it
The Ox-Bow Incident,Action Drama Western,7.9,1943,75.0,en
Cowspiracy: The Sustainability Secret,Documentary,7.9,2014,85.0,en
Bill Burr: You People Are All The Same,Comedy,7.9,2012,68.0,en
Partly Cloudy,Animation Family,7.9,2009,5.0,en
Only Old Men Are Going to Battle,Comedy Drama War,7.9,1973,92.0,ru
Vincent,Animation Fantasy,7.9,1982,6.0,en
The Seventh Seal,Drama Fantasy,7.9,1957,96.0,sv
Short Term 12,Drama,7.9,2013,96.0,en
Paradise Lost: The Child Murders at Robin Hood Hills,Documentary Drama,7.9,1996,150.0,en
Perfect Blue,Animation Thriller,7.9,1997,81.0,ja
The Pinchcliffe Grand Prix,Adventure Animation Comedy Family,7.9,1975,88.0,no
La Jetée,Romance Science-Fiction,7.9,1962,28.0,fr
Mr. Nobody,Drama Fantasy Romance Science-Fiction,7.9,2009,156.0,en
Tomorrow,Documentary,7.9,2015,118.0,fr
Before the Flood,Documentary Tv-Movie,7.9,2016,93.0,en
The Shop Around the Corner,Comedy Romance,7.9,1940,99.0,en
South Park: Imaginationland,Animation Comedy,7.9,2008,67.0,en
The Hunt,Drama,7.9,2012,115.0,da
Chris Rock: Kill the Messenger,Comedy,7.9,2008,79.0,en
Singin' in the Rain,Comedy Music Romance,7.9,1952,103.0,en
Casablanca,Drama Romance,7.9,1942,102.0,en
The Life and Death of Colonel Blimp,Comedy Drama Romance War,7.9,1943,163.0,en
The Last Waltz,Documentary Music,7.9,1978,117.0,en
Divorce Italian Style,Comedy,7.9,1961,105.0,it
The Cranes Are Flying,Drama Romance War,7.9,1957,97.0,ru
A Trip to the Moon,Adventure Fantasy Science-Fiction,7.9,1902,14.0,fr
The Boy and the Beast,Action Adventure Animation Fantasy,7.9,2015,119.0,ja
The Five Heartbeats,Drama Music,7.9,1991,121.0,en
Sunrise: A Song of Two Humans,Drama Romance,7.9,1927,94.0,en
The Cove,Documentary,7.9,2009,92.0,en
The Elephant Man,Drama History,7.9,1980,124.0,en
The Normal Heart,Drama,7.9,2014,133.0,en
The Big Heat,Crime Drama,7.9,1953,89.0,en
Shall We Dance,Comedy Music Romance,7.9,1937,109.0,en
The Diamond Arm,Adventure Comedy Crime,7.9,1968,100.0,ru
Gods,Drama,7.9,2014,121.0,pl
Diabolique,Drama Horror Thriller,7.9,1955,116.0,fr
Dial M for Murder,Crime Mystery Thriller,7.9,1954,104.0,en
Ace in the Hole,Drama,7.9,1951,111.0,en
More,Animation Science-Fiction,7.9,1998,6.0,xx
Love Letter,Drama Romance,7.9,1995,117.0,ja
Samurai Rebellion,Drama History Romance,7.9,1967,128.0,ja
Blade Runner,Drama Science-Fiction Thriller,7.9,1982,117.0,en
The Thin Blue Line,Crime Documentary Mystery,7.9,1988,103.0,en
Napoleon,Drama History,7.9,1927,332.0,fr
Searching for Sugar Man,Documentary Music,7.9,2012,85.0,en
The Pacific,Action Adventure Drama History War,7.9,2010,540.0,en
The Old Man and the Sea,Animation Drama,7.9,1999,20.0,ru
Ran,Action Drama History,7.9,1985,162.0,ja
Children of Paradise,Drama Romance,7.9,1945,191.0,fr
Bill Cunningham New York,Documentary,7.9,2010,84.0,en
A Short Film About Love,Drama Romance,7.9,1988,86.0,pl
Ghost in the Shell: Stand Alone Complex - The Laughing Man,Action Animation Crime Science-Fiction,7.9,2005,160.0,ja
And Then There Were None,Crime Drama Mystery,7.9,,168.0,en
Memories of Murder,Crime Drama Thriller,7.9,2003,129.0,ko
Doctor Who: The Runaway Bride,Science-Fiction Tv-Movie,7.9,2007,60.0,en
Nights of Cabiria,Drama,7.9,1957,110.0,it
Chinatown,Crime Drama Mystery Thriller,7.9,1974,130.0,en
Pather Panchali,Drama,7.9,1955,125.0,bn
The Staircase,Documentary Drama,7.9,2004,360.0,en
Rome: Open City,Drama History,7.9,1945,100.0,it
The White Helmets,Documentary War,7.9,2016,40.0,ar
My Friends,Comedy,7.9,1975,140.0,it
Estômago: A Gastronomic Story,Drama Foreign,7.9,2007,113.0,pt
Requiem for a Dream,Crime Drama,7.9,2000,102.0,en
Investigation of a Citizen Above Suspicion,Drama,7.9,1970,115.0,it
To Kill a Mockingbird,Crime Drama,7.9,1962,129.0,en
Steamboat Bill: Jr.,Action Comedy,7.9,1928,70.0,en
Victoria,Drama Romance Thriller,7.9,2015,138.0,de
What Ever Happened to Baby Jane?,Drama Horror Thriller,7.9,1962,135.0,en
The Breakfast Club,Comedy Drama,7.8,1985,97.0,en
Amadeus,Drama History Music,7.8,1984,160.0,en
Waltz with Bashir,Animation Drama War,7.8,2008,90.0,he
Accattone,Drama,7.8,1961,120.0,it
Paper Moon,Comedy Crime Drama,7.8,1973,102.0,en
One Hundred Steps,Crime Drama,7.8,2000,114.0,it
When Marnie Was There,Animation Drama,7.8,2014,103.0,ja
Beauty and the Beast,Drama Fantasy Romance,7.8,1946,96.0,fr
Bear Story,Animation,7.8,2014,11.0,es
The Disappearance of Haruhi Suzumiya,Animation Comedy Drama Mystery Romance Science-Fiction,7.8,2010,162.0,ja
Elite Squad,Action Crime Drama,7.8,2007,115.0,pt
Children of Heaven,Comedy Drama Family,7.8,1997,89.0,fa
Hunt for the Wilderpeople,Adventure Comedy Drama,7.8,2016,101.0,en
Puella Magi Madoka Magica the Movie Part I: Beginnings,Animation Fantasy Thriller,7.8,2012,131.0,ja
Oasis,Drama Romance,7.8,2002,132.0,ko
The Leopard,Drama,7.8,1963,185.0,it
Annie Hall,Comedy Drama Romance,7.8,1977,93.0,en
Cries and Whispers,Drama,7.8,1972,91.0,sv
Don't Look Now: We're Being Shot At,Comedy War,7.8,1966,132.0,fr
Jiro Dreams of Sushi,Documentary,7.8,2011,82.0,en
The Internet's Own Boy: The Story of Aaron Swartz,Crime Documentary,7.8,2014,105.0,en
Five Broken Cameras,Documentary War,7.8,2011,90.0,en
Into the Wild,Adventure Drama,7.8,2007,148.0,en
Three Colors: Red,Drama Mystery Romance,7.8,1994,99.0,fr
Ghost in the Shell: Stand Alone Complex - Solid State Society,Action Animation Crime Science-Fiction Thriller,7.8,2007,105.0,ja
Bianca,Comedy Drama,7.8,1984,96.0,it
Ivan Vasilyevich Changes His Profession,Comedy Science-Fiction,7.8,1973,93.0,ru
Hearts and Minds,Documentary War,7.8,1974,112.0,en
My Father and My Son,Comedy Drama,7.8,2005,108.0,tr
Isle of Flowers,Documentary,7.8,1989,13.0,pt
Loveless,Drama,7.8,2017,128.0,ru
Raise the Red Lantern,Drama,7.8,1991,125.0,zh
The Adventures of Prince Achmed,Adventure Animation Drama Fantasy,7.8,1926,65.0,de
Mary and Max,Animation Comedy Drama,7.8,2009,92.0,en
The Deer Hunter,Drama War,7.8,1978,183.0,en
The Great Escape,Adventure Drama History Thriller War,7.8,1963,172.0,en
Papillon,Crime Drama,7.8,1973,151.0,en
Stand by Me,Crime Drama,7.8,1986,89.0,en
Unfaithfully Yours,Comedy Romance,7.8,1948,105.0,en
Trainspotting,Crime Drama,7.8,1996,93.0,en
The Grapes of Wrath,Drama,7.8,1940,129.0,en
All Three of Us,Comedy Drama,7.8,2015,0.0,fr
The Secret in Their Eyes,Crime Drama Mystery Romance,7.8,2009,129.0,es
Manhattan,Comedy Drama Romance,7.8,1979,96.0,en
The Big Country,Drama Romance Western,7.8,1958,165.0,en
Winnie the Pooh and the Honey Tree,Animation Family,7.8,1966,25.0,en
Amarcord,Comedy Drama,7.8,1973,123.0,it
Stalker,Drama Science-Fiction Thriller,7.8,1979,163.0,ru
Holding the Man,Drama,7.8,2015,128.0,en
Castle in the Sky,Action Adventure Animation Family Fantasy Romance,7.8,1986,124.0,ja
In the Mood for Love,Drama Romance,7.8,2000,98.0,cn
Racing Extinction,Adventure Documentary,7.8,2015,90.0,en
Hatred,Drama History War,7.8,2016,150.0,pl
The Endless Summer,Documentary,7.8,1966,95.0,en
Borrowed Time,Animation Drama Western,7.8,2015,7.0,en
Army of Shadows,Drama War,7.8,1969,145.0,fr
Network,Drama,7.8,1976,121.0,en
The Blue Umbrella,Animation Romance,7.8,2013,7.0,en
At War with Love,Comedy Drama War,7.8,2016,99.0,it
Pauline at the Beach,Comedy Drama Romance,7.8,1983,94.0,fr
Autumn Sonata,Drama Music,7.8,1978,90.0,sv
A Werewolf Boy,Fantasy Romance,7.8,2012,122.0,ko
Skhizein,Action Comedy Drama Family Thriller,7.8,2008,13.0,fr
The Treasure of San Gennaro,Comedy,7.8,1966,104.0,it
The Girl Who Leapt Through Time,Animation Drama Fantasy Science-Fiction,7.8,2006,98.0,ja
Rope,Crime Drama Mystery Thriller,7.8,1948,80.0,en
Farewell My Concubine,Drama,7.8,1993,171.0,zh
Nobody Knows,Drama,7.8,2004,141.0,ja
Why We Fight,Documentary Drama History,7.8,2005,98.0,en
The Rolling Stones: Gimme Shelter,Documentary Music,7.8,1970,91.0,en
The Exterminating Angel,Comedy Drama Fantasy,7.8,1962,95.0,es
North by Northwest,Mystery Thriller,7.8,1959,136.0,en
Generation Kill,Drama History War,7.8,2008,470.0,en
Chris Rock: Bigger & Blacker,Comedy,7.8,1999,65.0,en
Land of Mine,Drama History War,7.8,2015,100.0,da
Finding Vivian Maier,Documentary,7.8,2014,83.0,en
One Week,Comedy,7.8,1920,25.0,en
One Froggy Evening,Animation Comedy Family,7.8,1955,7.0,en
Mirror,Drama History,7.8,1975,106.0,ru
BURN·E,Animation Family,7.8,2008,8.0,en
The Earrings of Madame de...,Drama Romance,7.8,1953,105.0,fr
Sanjuro,Action Comedy Drama,7.8,1962,96.0,ja
Au Hasard Balthazar,Drama,7.8,1966,95.0,fr
Jim Jefferies: Freedumb,Comedy,7.8,2016,86.0,en
Alive Inside,Documentary,7.8,2014,74.0,en
The Second Mother,Drama,7.8,2015,110.0,pt
La Terra Trema,Drama,7.8,1948,165.0,it
Il vigile,Comedy,7.8,1960,,it
It's Such a Beautiful Day,Animation Comedy Drama Fantasy,7.8,2012,62.0,en
Don't Be Bad,Drama,7.8,2015,100.0,it
